request_id,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub
1,accepted,23,24,617,607,627,4,1,618,624,613,623
2,accepted,3,12,511,501,521,4,1,507,555,504,514
3,accepted,5,10,498,488,508,3,1,498,523,493,503
4,accepted,11,14,478,468,488,2,1,472,486,470,480
5,accepted,20,29,504,494,514,1,1,506,551,500,510
6,rejected,26,28,568,558,578,,,,,,
7,accepted,20,22,560,550,570,2,1,551,560,551,561
8,rejected,20,28,464,454,474,,,,,,
9,rejected,18,30,468,458,478,,,,,,
10,accepted,4,10,516,506,526,4,1,513,547,510,520
11,accepted,22,30,561,551,571,2,1,561,607,556,566
12,accepted,21,24,572,562,582,3,1,582,596,572,582
13,accepted,24,28,605,595,615,3,1,597,616,596,606
14,accepted,27,29,533,523,543,1,1,538,551,531,541
15,accepted,19,27,562,552,572,3,1,572,609,562,572
16,accepted,20,22,603,593,613,4,1,604,611,599,609
17,accepted,7,15,531,521,541,4,1,528,581,525,535
18,accepted,4,7,432,422,442,2,1,432,446,427,437
19,accepted,24,27,602,592,612,3,1,597,609,595,605
20,accepted,28,29,543,533,553,1,1,545,551,539,549
21,accepted,24,30,615,605,625,4,1,625,657,615,625
22,accepted,23,26,587,577,597,3,1,590,604,584,594
23,accepted,21,23,564,554,574,2,1,556,566,555,565
24,accepted,17,27,562,552,572,3,1,565,609,559,569
25,accepted,17,29,591,581,601,4,1,589,647,585,595
26,accepted,25,27,577,567,587,2,1,578,584,573,583
27,accepted,18,24,508,498,518,1,1,498,526,498,508
28,accepted,17,22,591,581,601,4,1,589,611,585,595
29,accepted,18,25,594,584,604,4,1,593,628,589,599
30,accepted,16,19,585,575,595,4,1,583,598,579,589
