request_id,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub
1,accepted,38,40,516,511,521,4,1,518,521,515,520
2,accepted,5,19,454,449,459,4,1,450,474,450,455
3,accepted,9,16,443,438,448,3,1,445,457,442,447
4,accepted,18,24,431,426,436,2,1,426,438,426,431
5,accepted,33,49,446,441,451,1,1,450,479,446,451
6,rejected,44,46,485,480,490,,,,,,
7,accepted,32,36,480,475,485,2,1,477,484,476,481
8,rejected,33,47,423,418,428,,,,,,
9,rejected,30,49,425,420,430,,,,,,
10,accepted,6,16,456,451,461,4,1,453,469,452,457
11,accepted,36,49,481,476,486,2,1,485,509,481,486
12,accepted,34,39,487,482,492,2,1,482,490,482,487
13,accepted,39,47,507,502,512,3,1,506,519,504,509
14,accepted,44,48,464,459,469,1,1,468,476,464,469
15,accepted,32,44,481,476,486,2,1,477,499,477,482
16,accepted,34,36,509,504,514,4,1,508,512,506,511
17,accepted,11,25,465,460,470,4,1,461,489,461,466
18,accepted,6,11,403,398,408,2,1,407,414,403,408
19,accepted,39,45,505,500,510,3,1,506,515,503,508
20,rejected,47,49,470,465,475,,,,,,
21,accepted,40,50,513,508,518,3,1,508,525,508,513
22,accepted,37,44,496,491,501,3,1,501,513,496,501
23,accepted,34,39,482,477,487,2,1,482,490,480,485
24,accepted,28,45,481,476,486,3,1,483,515,480,485
25,accepted,28,48,498,493,503,4,1,496,535,495,500
26,accepted,41,44,490,485,495,2,1,495,499,490,495
27,accepted,29,40,449,444,454,1,1,444,461,444,449
28,accepted,28,37,498,493,503,4,1,496,515,495,500
29,accepted,30,41,502,497,507,4,1,499,523,498,503
30,accepted,27,32,497,492,502,4,1,494,502,493,498
31,rejected,31,50,457,452,462,,,,,,
32,accepted,28,37,498,493,503,4,1,496,515,495,500
33,rejected,33,38,487,482,492,,,,,,
34,accepted,1,15,430,425,435,3,1,430,455,428,433
35,accepted,34,48,480,475,485,2,1,482,506,479,484
36,accepted,38,44,515,510,520,4,1,518,528,514,519
37,accepted,48,49,474,469,479,1,1,477,479,473,478
38,accepted,9,19,440,435,445,3,1,445,462,440,445
39,accepted,24,25,426,421,431,1,1,426,428,424,429
40,accepted,31,46,445,440,450,1,1,447,472,444,449
41,accepted,4,25,452,447,457,4,1,447,489,447,452
42,rejected,33,35,464,459,469,,,,,,
43,accepted,5,18,454,449,459,4,1,450,472,450,455
44,rejected,39,46,454,449,459,,,,,,
45,accepted,30,44,490,485,495,3,1,486,513,486,491
46,accepted,32,35,488,483,493,3,1,490,495,487,492
47,accepted,26,44,442,437,447,1,1,439,467,438,443
48,accepted,20,25,471,466,476,3,1,466,475,466,471
49,accepted,4,24,452,447,457,4,1,447,486,447,452
50,accepted,35,37,511,506,516,4,1,511,515,509,514
