request_id,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub
0,accepted,40,45,421,416,426,2,1,419,425,418,423
1,accepted,36,43,467,462,472,4,1,465,482,464,469
2,accepted,28,34,474,469,479,2,2,472,482,471,476
3,accepted,33,34,479,474,484,2,2,482,482,478,483
4,accepted,32,48,514,509,519,3,2,509,536,509,514
5,accepted,28,44,490,485,495,1,2,495,523,490,495
6,accepted,30,37,508,503,513,3,2,508,514,506,511
7,accepted,41,44,527,522,532,3,2,528,533,525,530
8,accepted,38,42,504,499,509,1,2,509,519,504,509
9,accepted,39,40,489,484,494,2,2,494,498,489,494
10,accepted,35,46,460,455,465,4,1,464,485,460,465
11,accepted,36,50,497,492,502,1,2,502,537,497,502
12,accepted,4,11,427,422,432,4,1,422,427,422,427
13,accepted,26,41,484,479,489,1,2,489,516,484,489
14,rejected,35,38,511,506.0,516.0,,,,,,
15,accepted,30,49,502,497,507,1,2,497,532,497,502
16,accepted,31,38,483,478,488,2,2,478,491,478,483
17,rejected,35,40,473,468.0,478.0,,,,,,
18,accepted,26,34,458,453,463,4,1,454,461,454,459
19,rejected,29,31,506,501.0,511.0,,,,,,
20,accepted,28,33,510,505,515,3,2,506,509,506,511
21,accepted,1,18,457,452,462,1,2,454,473,453,458
22,accepted,14,24,464,459,469,1,2,469,482,464,469
23,accepted,36,40,498,493,503,1,2,502,515,498,503
24,accepted,31,43,445,440,450,3,1,440,459,440,445
25,rejected,30,44,483,478.0,488.0,,,,,,
26,accepted,4,17,477,472,482,3,2,472,489,472,477
27,rejected,19,24,489,484.0,494.0,,,,,,
28,accepted,17,23,450,445,455,2,2,452,455,449,454
29,accepted,37,44,499,494,504,1,2,504,523,499,504
30,accepted,30,38,499,494,504,1,2,497,508,496,501
31,accepted,43,45,518,513,523,1,2,521,524,517,522
32,accepted,27,41,504,499,509,3,2,503,527,501,506
33,accepted,20,22,398,393,403,3,1,398,404,396,401
34,rejected,31,39,511,506.0,516.0,,,,,,
35,rejected,30,39,480,475.0,485.0,,,,,,
36,accepted,33,50,502,497,507,1,2,499,537,498,503
37,accepted,1,23,450,445,455,1,2,454,477,450,455
38,accepted,42,44,448,443,453,1,1,443,446,443,448
39,accepted,41,47,475,470,480,4,1,480,488,475,480
40,accepted,30,48,476,471,481,2,2,474,505,473,478
41,accepted,33,45,444,439,449,3,1,444,462,442,447
42,rejected,31,40,500,495.0,505.0,,,,,,
43,rejected,18,25,494,489.0,499.0,,,,,,
44,rejected,11,15,450,445.0,455.0,,,,,,
45,rejected,28,29,467,462.0,472.0,,,,,,
46,rejected,37,40,419,414.0,424.0,,,,,,
47,accepted,27,38,503,498,508,3,2,503,519,501,506
48,accepted,31,40,481,476,486,2,2,478,498,477,482
49,rejected,6,11,481,476.0,486.0,,,,,,
50,rejected,6,12,478,473.0,483.0,,,,,,
51,rejected,11,22,448,443.0,453.0,,,,,,
52,rejected,10,13,417,412.0,422.0,,,,,,
53,accepted,14,21,467,462,472,1,2,469,475,466,471
54,rejected,7,13,460,455.0,465.0,,,,,,
55,accepted,36,43,501,496,506,1,2,502,520,499,504
56,accepted,42,48,523,518,528,1,2,520,530,519,524
57,accepted,33,48,424,419,429,1,1,422,449,421,426
58,rejected,41,46,507,502.0,512.0,,,,,,
59,accepted,30,41,405,400,410,2,1,401,419,401,406
60,rejected,33,39,460,455.0,465.0,,,,,,
61,rejected,5,14,478,473.0,483.0,,,,,,
62,accepted,40,41,435,430,440,1,1,439,439,435,440
63,rejected,37,43,494,489.0,499.0,,,,,,
64,rejected,31,47,507,502.0,512.0,,,,,,
65,accepted,27,32,507,502,512,3,2,503,508,503,508
66,rejected,35,36,455,450.0,460.0,,,,,,
67,accepted,34,38,458,453,463,4,1,462,471,458,463
68,rejected,42,43,507,502.0,512.0,,,,,,
69,accepted,39,47,510,505,515,1,2,511,529,508,513
