request_id,type,request_time,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub,dtd,ivt
0,PB,-3891,accepted,40,45,421,416.0,426.0,2,1,419,425,418,423,2,6
1,PB,-3835,accepted,36,43,467,462.0,472.0,4,1,465,482,464,469,2,17
2,PB,-3835,accepted,28,34,474,469.0,479.0,2,2,472,482,471,476,2,10
3,PB,-3814,accepted,33,34,479,474.0,484.0,2,2,482,482,478,483,3,0
4,PB,-3781,accepted,32,48,514,509.0,519.0,3,2,509,536,509,514,5,27
5,PB,-3772,accepted,28,44,490,485.0,495.0,1,2,495,523,490,495,5,28
6,PB,-3674,accepted,30,37,508,503.0,513.0,3,2,508,514,506,511,0,6
7,PB,-3663,accepted,41,44,527,522.0,532.0,3,2,528,533,525,530,1,5
8,PB,-3636,accepted,38,42,504,499.0,509.0,1,2,509,519,504,509,5,10
9,PB,-3503,accepted,39,40,489,484.0,494.0,2,2,494,498,489,494,5,4
10,PB,-3419,accepted,35,46,460,455.0,465.0,4,1,464,485,460,465,4,21
11,PB,-3348,accepted,36,50,497,492.0,502.0,1,2,502,537,497,502,5,35
12,PB,-3345,accepted,4,11,427,422.0,432.0,4,1,422,427,422,427,5,5
13,PB,-3315,accepted,26,41,484,479.0,489.0,1,2,489,516,484,489,5,27
14,PB,-3270,rejected,35,38,511,506.0,516.0,,,,,,,,
15,PB,-3269,accepted,30,49,502,497.0,507.0,1,2,497,532,497,502,5,35
16,PB,-3187,accepted,31,38,483,478.0,488.0,2,2,478,491,478,483,5,13
17,PB,-3181,rejected,35,40,473,468.0,478.0,,,,,,,,
18,PB,-3131,accepted,26,34,458,453.0,463.0,4,1,454,461,454,459,4,7
19,PB,-3084,rejected,29,31,506,501.0,511.0,,,,,,,,
20,PB,-3049,accepted,28,33,510,505.0,515.0,3,2,506,509,506,511,4,3
21,PB,-3026,accepted,1,18,457,452.0,462.0,1,2,454,473,453,458,3,19
22,PB,-3001,accepted,14,24,464,459.0,469.0,1,2,469,482,464,469,5,13
23,PB,-2996,accepted,36,40,498,493.0,503.0,1,2,502,515,498,503,4,13
24,PB,-2955,accepted,31,43,445,440.0,450.0,3,1,440,459,440,445,5,19
25,PB,-2913,rejected,30,44,483,478.0,488.0,,,,,,,,
26,PB,-2873,accepted,4,17,477,472.0,482.0,3,2,472,489,472,477,5,17
27,PB,-2852,rejected,19,24,489,484.0,494.0,,,,,,,,
28,PB,-2727,accepted,17,23,450,445.0,455.0,2,2,452,455,449,454,2,3
29,PB,-2714,accepted,37,44,499,494.0,504.0,1,2,504,523,499,504,5,19
30,PB,-2658,accepted,30,38,499,494.0,504.0,1,2,497,508,496,501,2,11
31,PB,-2644,accepted,43,45,518,513.0,523.0,1,2,521,524,517,522,3,3
32,PB,-2631,accepted,27,41,504,499.0,509.0,3,2,503,527,501,506,1,24
33,PB,-2610,accepted,20,22,398,393.0,403.0,3,1,398,404,396,401,0,6
34,PB,-2606,rejected,31,39,511,506.0,516.0,,,,,,,,
35,PB,-2566,rejected,30,39,480,475.0,485.0,,,,,,,,
36,PB,-2468,accepted,33,50,502,497.0,507.0,1,2,499,537,498,503,3,38
37,PB,-2420,accepted,1,23,450,445.0,455.0,1,2,454,477,450,455,4,23
38,PB,-2345,accepted,42,44,448,443.0,453.0,1,1,443,446,443,448,5,3
39,PB,-2333,accepted,41,47,475,470.0,480.0,4,1,480,488,475,480,5,8
40,PB,-2315,accepted,30,48,476,471.0,481.0,2,2,474,512,473,478,2,38
41,PB,-2277,accepted,33,45,444,439.0,449.0,3,1,444,462,442,447,0,18
42,PB,-2230,rejected,31,40,500,495.0,505.0,,,,,,,,
43,PB,-2121,rejected,18,25,494,489.0,499.0,,,,,,,,
44,PB,-2119,rejected,11,15,450,445.0,455.0,,,,,,,,
45,PB,-1998,rejected,28,29,467,462.0,472.0,,,,,,,,
46,PB,-1991,rejected,37,40,419,414.0,424.0,,,,,,,,
47,PB,-1901,accepted,27,38,503,498.0,508.0,3,2,503,519,501,506,0,16
48,PB,-1871,accepted,31,40,481,476.0,486.0,2,2,478,498,477,482,3,20
49,PB,-1754,rejected,6,11,481,476.0,486.0,,,,,,,,
50,PB,-1681,rejected,6,12,478,473.0,483.0,,,,,,,,
51,PB,-1667,rejected,11,22,448,443.0,453.0,,,,,,,,
52,PB,-1602,rejected,10,13,417,412.0,422.0,,,,,,,,
53,PB,-1599,accepted,14,21,467,462.0,472.0,1,2,469,475,466,471,2,6
54,PB,-1471,rejected,7,13,460,455.0,465.0,,,,,,,,
55,PB,-1438,accepted,36,43,501,496.0,506.0,1,2,502,520,499,504,1,18
56,PB,-1358,accepted,42,48,523,518.0,528.0,1,2,520,530,519,524,3,10
57,PB,-1339,accepted,33,48,424,419.0,429.0,1,1,422,449,421,426,2,27
58,PB,-1306,rejected,41,46,507,502.0,512.0,,,,,,,,
59,PB,-1280,accepted,30,41,405,400.0,410.0,2,1,401,419,401,406,4,18
60,PB,-1228,rejected,33,39,460,455.0,465.0,,,,,,,,
61,PB,-1226,rejected,5,14,478,473.0,483.0,,,,,,,,
62,PB,-1224,accepted,40,41,435,430.0,440.0,1,1,439,439,435,440,4,0
63,PB,-1089,rejected,37,43,494,489.0,499.0,,,,,,,,
64,PB,-1047,rejected,31,47,507,502.0,512.0,,,,,,,,
65,PB,-1038,accepted,27,32,507,502.0,512.0,3,2,503,508,503,508,4,5
66,PB,-1026,rejected,35,36,455,450.0,460.0,,,,,,,,
67,PB,-992,accepted,34,38,458,453.0,463.0,4,1,462,471,458,463,4,9
68,PB,-960,rejected,42,43,507,502.0,512.0,,,,,,,,
69,PB,-940,accepted,39,47,510,505.0,515.0,1,2,511,529,508,513,1,18
70,RT,398,rejected,14,21,408,403.0,413.0,,,,,,,,
71,RT,399,rejected,8,25,413,408.0,418.0,,,,,,,,
72,RT,400,rejected,7,15,427,422.0,432.0,,,,,,,,
73,RT,414,rejected,3,16,435,430.0,440.0,,,,,,,,
74,RT,416,rejected,19,20,421,416.0,426.0,,,,,,,,
75,RT,434,rejected,8,24,445,440.0,450.0,,,,,,,,
76,RT,436,rejected,38,42,464,459.0,469.0,,,,,,,,
77,RT,437,accepted,33,36,448,443.0,453.0,3,1,444,446,443.5,448.5,4,2
78,RT,446,rejected,2,12,474,469.0,479.0,,,,,,,,
79,RT,451,rejected,43,50,476,471.0,481.0,,,,,,,,
80,RT,451,rejected,31,43,460,455.0,465.0,,,,,,,,
81,RT,457,rejected,43,44,477,472.0,482.0,,,,,,,,
82,RT,460,rejected,44,49,475,470.0,480.0,,,,,,,,
83,RT,461,rejected,32,39,474,469.0,479.0,,,,,,,,
84,RT,470,rejected,21,25,484,479.0,489.0,,,,,,,,
85,RT,473,accepted,31,45,481,476.0,486.0,2,2,478,507,477,482,3,29
86,RT,473,rejected,16,21,496,491.0,501.0,,,,,,,,
87,RT,478,accepted,33,49,495,490.0,500.0,1,2,499,532,494.5,499.5,4,33
88,RT,478,rejected,36,42,495,490.0,500.0,,,,,,,,
89,RT,482,rejected,15,20,489,484.0,494.0,,,,,,,,
90,RT,483,rejected,30,35,497,492.0,502.0,,,,,,,,
91,RT,485,accepted,36,45,507,502.0,512.0,1,2,502,524,502,507,5,22
92,RT,486,accepted,44,46,504,499.0,509.0,2,2,507,510,502,507,3,3
93,RT,486,rejected,36,49,508,503.0,513.0,,,,,,,,
94,RT,489,accepted,41,42,495,490.0,500.0,2,2,500,502,495,500,5,2
95,RT,492,accepted,26,50,498,493.0,503.0,3,2,500,539,496.5,501.5,2,39
96,RT,494,rejected,30,31,505,500.0,510.0,,,,,,,,
97,RT,494,accepted,42,49,524,519.0,529.0,1,2,520,532,519.5,524.5,4,12
98,RT,506,accepted,38,42,511,506.0,516.0,1,2,509,519,507.5,512.5,2,10
99,RT,512,accepted,38,50,525,520.0,530.0,3,2,520,539,520,525,5,19
