request_id,type,request_time,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub,dtd,ivt
1,PB,-24120,accepted,21,28,479,474,484,5,1,484,503,479,484,5,19
2,PB,-22680,accepted,40,52,536,531,541,5,1,536,567,534,539,0,31
3,PB,-21240,accepted,45,53,552,547,557,5,1,551,570,549,554,1,19
4,PB,-11160,accepted,14,21,466,461,471,5,1,461,483,461,466,5,22
5,PB,-29880,accepted,42,57,488,483,493,1,1,486,529,485,490,2,43
6,PB,-18360,rejected,5,29,444,439,449,,,,,,,,
7,PB,-39960,accepted,15,16,469,464,474,5,1,464,467,464,469,5,3
8,PB,-37080,accepted,37,40,507,502,512,4,1,505,512,503,508,2,7
9,PB,-2520,accepted,19,25,480,475,485,5,1,478,493,477,482,2,15
10,PB,-6840,rejected,1,5,434,429,439,,,,,,,,
11,PB,-22680,accepted,16,22,400,395,405,3,1,400,413,398,403,0,13
12,PB,-14040,rejected,42,50,541,536,546,,,,,,,,
13,PB,-2520,accepted,31,34,444,439,449,3,1,442,448,441,446,2,6
14,PB,-21240,rejected,43,60,543,538,548,,,,,,,,
15,PB,-29880,accepted,19,29,480,475,485,5,1,478,508,477,482,2,30
16,PB,-9720,rejected,32,51,516,511,521,,,,,,,,
17,PB,-14040,rejected,45,58,536,531,541,,,,,,,,
18,PB,-25560,accepted,3,17,418,413,423,4,1,415,449,415,420,3,34
19,PB,-12600,accepted,48,54,521,516,526,2,1,522,535,518,523,1,13
20,PB,-5400,accepted,52,58,499,494,504,3,1,501,520,497,502,2,19
21,PB,-1080,accepted,42,55,498,493,503,2,1,502,539,498,503,4,37
22,PB,-27000,accepted,14,18,466,461,471,5,1,461,474,461,466,5,13
23,PB,-25560,accepted,34,54,520,515,525,5,1,521,573,518,523,1,52
24,PB,-14040,accepted,42,44,541,536,546,5,1,541,546,539,544,0,5
25,PB,-11160,accepted,36,42,522,517,527,5,1,527,540,522,527,5,13
26,PB,-6840,accepted,39,55,533,528,538,5,1,533,577,531,536,0,44
27,PB,-31320,accepted,49,53,524,519,529,2,1,525,532,521,526,1,7
28,PB,-9720,accepted,41,43,466,461,471,3,1,467,473,464,469,1,6
29,PB,-12600,rejected,32,46,516,511,521,,,,,,,,
30,PB,-14040,rejected,5,20,444,439,449,,,,,,,,
31,PB,-21240,accepted,55,56,507,502,512,3,1,509,512,505,510,2,3
32,PB,-2520,rejected,5,16,444,439,449,,,,,,,,
33,PB,-42840,accepted,43,44,487,482,492,1,1,489,493,486,491,2,4
34,PB,-6840,rejected,10,15,456,451,461,,,,,,,,
35,PB,-12600,accepted,40,52,510,505,515,4,1,513,544,509,514,3,31
36,PB,-37080,accepted,7,16,449,444,454,5,1,444,467,444,449,5,23
37,PB,-19800,accepted,36,59,526,521,531,5,1,527,593,524,529,1,66
38,PB,-9720,accepted,25,28,469,464,474,4,1,468,477,467,472,1,9
39,PB,-42840,accepted,47,53,529,524,534,4,1,532,547,528,533,3,15
40,PB,-9720,accepted,50,52,495,490,500,3,1,497,500,493,498,2,3
41,PB,-24120,accepted,47,54,559,554,564,5,1,558,573,556,561,1,15
42,PB,-6840,rejected,36,47,521,516,526,,,,,,,,
43,PB,-28440,accepted,35,56,495,490,500,4,1,498,556,494,499,3,58
44,PB,-6840,rejected,41,57,538,533,543,,,,,,,,
45,PB,-14040,rejected,10,29,456,451,461,,,,,,,,
46,PB,-29880,accepted,39,57,495,490,500,2,1,496,545,494,499,1,49
47,PB,-42840,accepted,15,17,469,464,474,5,1,464,471,464,469,5,7
48,PB,-18360,accepted,45,48,503,498,508,1,1,498,507,498,503,5,9
49,PB,-21240,rejected,3,15,439,434,444,,,,,,,,
50,PB,-35640,accepted,53,57,574,569,579,5,1,571,583,570,575,3,12
51,PB,-24120,accepted,16,20,472,467,477,5,1,468,480,468,473,4,12
52,PB,-6840,rejected,46,53,546,541,551,,,,,,,,
53,PB,-16920,rejected,10,29,456,451,461,,,,,,,,
54,PB,-39960,accepted,53,60,566,561,571,5,1,571,598,566,571,5,27
55,PB,-22680,accepted,35,38,489,484,494,2,1,485,492,485,490,4,7
56,PB,-16920,accepted,34,54,520,515,525,5,1,521,573,518,523,1,52
57,PB,-5400,accepted,35,53,469,464,474,1,1,470,518,467,472,1,48
58,PB,-34200,accepted,20,22,483,478,488,5,1,481,485,480,485,2,4
59,PB,-14040,rejected,35,55,523,518,528,,,,,,,,
60,PB,-31320,accepted,47,53,492,487,497,3,1,489,503,487,492,3,14
61,RT,507,rejected,40,43,536,531,541,,,,,,,,
62,RT,555,rejected,53,56,563,558,568,,,,,,,,
63,RT,481,rejected,36,43,496,491,501,,,,,,,,
64,RT,449,accepted,31,52,456,451,461,1,1,460,515,455.5,460.5,4,55
65,RT,518,rejected,49,59,547,542,552,,,,,,,,
66,RT,476,accepted,49,60,494,489,499,3,1,494,530,491.5,496.5,0,36
67,RT,463,rejected,31,43,471,466,476,,,,,,,,
68,RT,452,accepted,12,20,460,455,465,5,1,455,480,455,460,5,25
69,RT,536,rejected,43,59,544,539,549,,,,,,,,
70,RT,543,accepted,49,59,564,559,569,5,1,563,593,561,566,1,30
71,RT,443,rejected,10,30,456,451,461,,,,,,,,
72,RT,486,accepted,31,59,512,507,517,5,1,514,593,510.5,515.5,2,79
73,RT,510,rejected,42,46,527,522,532,,,,,,,,
74,RT,520,rejected,40,43,525,520,530,,,,,,,,
75,RT,507,accepted,40,55,536,531,541,5,1,536,577,533.5,538.5,0,41
76,RT,417,rejected,12,28,427,422,432,,,,,,,,
77,RT,451,accepted,17,27,475,470,480,5,1,472,499,471,476,3,27
78,RT,424,rejected,5,28,444,439,449,,,,,,,,
79,RT,427,accepted,34,38,448,443,453,3,1,449,458,446,451,1,9
80,RT,492,accepted,49,60,509,504,514,1,1,511,538,507.5,512.5,2,27
81,RT,560,accepted,53,58,574,569,579,5,1,571,588,570,575,3,17
82,RT,431,rejected,10,18,456,451,461,,,,,,,,
83,RT,495,rejected,35,54,523,518,528,,,,,,,,
84,RT,456,rejected,20,22,474,469,479,,,,,,,,
85,RT,412,rejected,4,10,441,436,446,,,,,,,,
86,RT,461,accepted,35,45,485,480,490,2,1,485,511,482.5,487.5,0,26
87,RT,530,accepted,51,60,538,533,543,4,1,542,568,537.5,542.5,4,26
88,RT,429,rejected,2,23,437,432,442,,,,,,,,
89,RT,456,accepted,43,44,472,467,477,3,1,474,478,470.5,475.5,2,4
90,RT,500,accepted,39,49,528,523,533,5,1,533,562,528,533,5,29
91,RT,455,rejected,34,55,474,469,479,,,,,,,,
92,RT,464,accepted,46,59,483,478,488,3,1,484,525,481,486,1,41
93,RT,481,accepted,53,59,502,497,507,3,1,504,525,500.5,505.5,2,21
94,RT,505,rejected,39,52,518,513,523,,,,,,,,
95,RT,500,rejected,46,52,512,507,517,,,,,,,,
96,RT,419,rejected,2,13,427,422,432,,,,,,,,
97,RT,480,rejected,33,52,499,494,504,,,,,,,,
98,RT,438,rejected,23,29,452,447,457,,,,,,,,
99,RT,524,accepted,44,53,548,543,553,5,1,547,570,545,550,1,23
100,RT,511,rejected,57,58,539,534,544,,,,,,,,
101,RT,518,rejected,42,48,541,536,546,,,,,,,,
102,RT,466,accepted,47,56,487,482,492,3,1,489,512,485.5,490.5,2,23
103,RT,498,rejected,32,43,516,511,521,,,,,,,,
104,RT,496,rejected,47,57,513,508,518,,,,,,,,
105,RT,498,accepted,36,54,526,521,531,5,1,527,573,524,529,1,46
106,RT,477,rejected,49,51,492,487,497,,,,,,,,
107,RT,451,rejected,16,26,472,467,477,,,,,,,,
108,RT,520,accepted,40,60,536,531,541,5,1,536,598,533.5,538.5,0,62
109,RT,491,rejected,39,59,516,511,521,,,,,,,,
110,RT,512,rejected,42,46,523,518,528,,,,,,,,
111,RT,530,rejected,42,51,541,536,546,,,,,,,,
112,RT,509,accepted,57,60,526,521,531,1,1,530,538,525.5,530.5,4,8
113,RT,452,accepted,16,19,470,465,475,5,1,468,477,466.5,471.5,2,9
114,RT,509,rejected,35,51,523,518,528,,,,,,,,
115,RT,505,rejected,40,57,522,517,527,,,,,,,,
116,RT,483,accepted,49,50,492,487,497,3,1,494,496,490.5,495.5,2,2
117,RT,547,accepted,53,58,574,569,579,5,1,571,588,570,575,3,17
118,RT,459,accepted,20,21,483,478,488,5,1,481,483,479.5,484.5,2,2
119,RT,396,accepted,9,29,426,421,431,4,1,429,482,425,430,3,53
120,RT,441,rejected,10,24,456,451,461,,,,,,,,
