request_id,type,request_time,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub,dtd,ivt
0,PB,-3891,accepted,40,45,421,416.0,426.0,4,1,423,429,419,424,2,6
1,PB,-3835,accepted,36,43,467,462.0,472.0,2,1,469,485,466,471,2,16
2,PB,-3814,accepted,33,34,479,474.0,484.0,4,2,482,482,478,483,3,0
3,PB,-3781,accepted,32,48,514,509.0,519.0,3,2,515,535,512,517,1,20
4,PB,-3772,accepted,28,44,490,485.0,495.0,1,2,489,521,487,492,1,32
5,PB,-3674,accepted,30,37,508,503.0,513.0,5,2,503,509,503,508,5,6
6,PB,-3663,accepted,41,44,527,522.0,532.0,5,2,523,529,523,528,4,6
7,PB,-3636,accepted,38,42,504,499.0,509.0,1,2,509,517,504,509,5,8
8,PB,-3503,accepted,39,40,489,484.0,494.0,4,2,494,498,489,494,5,4
9,PB,-3270,accepted,35,38,511,506.0,516.0,5,2,507,514,507,512,4,7
10,PB,-3269,accepted,30,49,502,497.0,507.0,5,2,503,534,500,505,1,31
11,PB,-3187,accepted,31,38,483,478.0,488.0,4,2,478,491,478,483,5,13
12,PB,-3181,accepted,35,40,473,468.0,478.0,2,1,468,482,468,473,5,14
13,PB,-3131,accepted,26,34,458,453.0,463.0,2,1,457,465,455,460,1,8
14,PB,-3084,accepted,29,31,506,501.0,511.0,3,2,505,511,503,508,1,6
15,PB,-3026,accepted,1,18,457,452.0,462.0,5,2,454,479,453,458,3,25
16,PB,-3001,accepted,14,24,464,459.0,469.0,1,2,464,472,462,467,0,8
17,PB,-2955,accepted,31,43,445,440.0,450.0,3,1,440,459,440,445,5,19
18,PB,-2852,accepted,19,24,489,484.0,494.0,3,2,491,494,488,493,2,3
19,PB,-2714,accepted,37,44,499,494.0,504.0,1,2,504,521,499,504,5,17
20,PB,-2658,accepted,30,38,499,494.0,504.0,5,2,503,514,499,504,4,11
21,PB,-2644,accepted,43,45,518,513.0,523.0,1,2,519,522,516,521,1,3
22,PB,-2631,accepted,27,41,504,499.0,509.0,5,2,500,522,500,505,4,22
23,PB,-2610,accepted,20,22,398,393.0,403.0,5,1,398,404,396,401,0,6
24,PB,-2566,rejected,30,39,480,475.0,485.0,,,,,,,,
25,PB,-2420,accepted,1,23,450,445.0,455.0,5,2,454,483,450,455,4,29
26,PB,-2345,accepted,42,44,448,443.0,453.0,5,1,443,446,443,448,5,3
27,PB,-2333,rejected,41,47,475,470.0,480.0,,,,,,,,
28,PB,-2315,accepted,30,48,476,471.0,481.0,4,2,474,512,473,478,2,38
29,PB,-2277,accepted,33,45,444,439.0,449.0,3,1,444,462,442,447,0,18
30,PB,-2230,accepted,31,40,500,495.0,505.0,1,2,495,515,495,500,5,20
31,PB,-2119,accepted,11,15,450,445.0,455.0,1,2,452,465,449,454,2,13
32,PB,-1991,accepted,37,40,419,414.0,424.0,1,1,419,430,417,422,0,11
33,PB,-1901,accepted,27,38,503,498.0,508.0,5,2,500,514,499,504,3,14
34,PB,-1871,accepted,31,40,481,476.0,486.0,4,2,478,498,477,482,3,20
35,PB,-1754,rejected,6,11,481,476.0,486.0,,,,,,,,
36,PB,-1599,accepted,14,21,467,462.0,472.0,1,2,464,469,463,468,3,5
37,PB,-1471,accepted,7,13,460,455.0,465.0,5,2,461,469,458,463,1,8
38,PB,-1358,accepted,42,48,523,518.0,528.0,5,2,526,532,522,527,3,6
