request_id,type,request_time,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub,dtd,ivt
1,PB,-2520,accepted,24,30,445,435,455,3,1,443,452,439,449,2,9
2,PB,-41400,accepted,24,30,445,435,455,3,1,443,452,439,449,2,9
3,PB,-24120,accepted,33,38,463,453,473,3,1,461,473,457,467,2,12
4,PB,-6840,accepted,34,35,421,411,431,2,1,430,431,420,430,9,1
5,PB,-11160,accepted,27,36,416,406,426,2,1,414,434,409,419,2,20
6,PB,-22680,accepted,31,32,445,435,455,1,1,443,445,439,449,2,2
7,PB,-5400,accepted,28,31,428,418,438,1,1,435,442,427,437,7,7
8,PB,-9720,accepted,25,32,445,435,455,3,1,446,458,441,451,1,12
9,PB,-9720,accepted,34,36,464,454,474,3,1,463,467,459,469,1,4
10,PB,-29880,accepted,24,25,445,435,455,3,1,443,445,439,449,2,2
11,PB,-11160,accepted,22,35,443,433,453,3,1,439,464,436,446,4,25
12,PB,-37080,accepted,4,9,395,385,405,3,1,401,408,394,404,6,7
13,PB,-11160,accepted,14,20,427,417,437,3,1,421,435,420,430,6,14
14,PB,-9720,accepted,27,40,449,439,459,3,1,448,479,444,454,1,31
15,PB,-15480,accepted,22,24,435,425,445,3,1,439,442,432,442,4,3
16,PB,-12600,accepted,22,27,443,433,453,3,1,439,447,436,446,4,8
17,PB,-6840,accepted,25,26,424,414,434,1,1,428,429,421,431,4,1
18,PB,-21240,accepted,4,9,410,400,420,3,1,401,408,401,411,9,7
19,PB,-34200,accepted,37,38,448,438,458,1,1,457,459,447,457,9,2
20,PB,-27000,accepted,30,37,455,445,465,3,1,453,470,449,459,2,17
21,PB,-3960,accepted,24,36,445,435,455,3,1,443,467,439,449,2,24
22,PB,-24120,accepted,22,31,443,433,453,3,1,439,455,436,446,4,16
23,PB,-35640,accepted,21,35,441,431,451,3,1,437,464,434,444,4,27
24,PB,-11160,accepted,23,36,424,414,434,1,1,423,453,420,430,1,30
25,PB,-37080,accepted,34,39,463,453,473,3,1,463,476,458,468,0,13
