request_id,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub
1,accepted,36,45,526,521,531,5,1,524,547,523,528
2,accepted,36,44,526,521,531,5,1,524,543,523,528
3,rejected,50,58,566,561,571,,,,,,
4,accepted,51,52,497,492,502,1,1,496,498,494,499
5,accepted,39,54,471,466,476,1,1,466,504,466,471
6,accepted,47,48,530,525,535,3,1,525,527,525,530
7,rejected,41,46,495,490,500,,,,,,
8,accepted,37,47,529,524,534,5,1,527,556,526,531
9,accepted,51,53,569,564,574,5,1,567,572,566,571
10,accepted,35,37,523,518,528,5,1,520,526,519,524
11,rejected,33,52,518,513,523,,,,,,
12,accepted,5,13,431,426,436,4,1,429,446,428,433
13,accepted,21,30,485,480,490,5,1,482,508,481,486
14,rejected,40,59,536,531,541,,,,,,
15,accepted,33,35,510,505,515,4,1,505,510,505,510
16,rejected,33,40,518,513,523,,,,,,
17,accepted,36,38,488,483,493,2,1,485,488,484,489
18,rejected,5,13,444,439,449,,,,,,
19,accepted,56,57,536,531,541,2,1,539,541,535,540
20,accepted,45,56,552,547,557,5,1,548,581,548,553
21,accepted,36,53,526,521,531,5,1,524,572,523,528
22,rejected,32,47,516,511,521,,,,,,
23,accepted,31,53,512,507,517,5,1,510,572,509,514
24,accepted,35,53,489,484,494,3,1,493,538,489,494
25,accepted,51,58,567,562,572,5,1,567,589,565,570
26,accepted,12,22,460,455,465,5,1,456,483,456,461
27,accepted,7,17,449,444,454,5,1,444,470,444,449
28,accepted,21,28,485,480,490,5,1,482,501,481,486
29,accepted,40,51,500,495,505,2,1,495,523,495,500
30,accepted,39,58,463,458,468,1,1,466,519,462,467
31,accepted,47,49,559,554,564,5,1,557,561,556,561
32,accepted,21,25,485,480,490,5,1,482,491,481,486
33,accepted,40,57,505,500,510,3,1,506,549,503,508
34,accepted,34,44,520,515,525,5,1,517,543,516,521
35,rejected,43,57,489,484,494,,,,,,
36,accepted,31,40,481,476,486,3,1,483,505,480,485
37,accepted,45,46,552,547,557,5,1,548,551,548,553
38,accepted,51,55,569,564,574,5,1,567,577,566,571
39,accepted,39,42,519,514,524,4,1,523,528,519,524
40,accepted,46,59,555,550,560,5,1,552,594,551,556
41,accepted,8,19,451,446,456,5,1,447,475,447,452
42,accepted,33,55,446,441,451,1,1,451,508,446,451
43,accepted,37,46,515,510,520,4,1,518,539,514,519
44,accepted,52,58,531,526,536,2,1,527,546,527,532
45,accepted,9,20,453,448,458,5,1,450,478,449,454
46,accepted,14,19,457,452,462,4,1,452,465,452,457
47,rejected,46,52,496,491,501,,,,,,
48,accepted,34,52,520,515,525,5,1,517,569,516,521
49,accepted,31,49,483,478,488,3,1,483,530,481,486
50,accepted,33,44,472,467,477,2,1,476,505,472,477
51,accepted,31,51,512,507,517,5,1,510,566,509,514
52,accepted,14,28,466,461,471,5,1,462,501,462,467
53,accepted,33,35,503,498,508,4,1,505,510,502,507
54,accepted,49,57,564,559,569,5,1,562,584,561,566
55,accepted,11,27,437,432,442,4,1,442,484,437,442
56,accepted,49,54,516,511,521,2,1,519,530,515,520
57,rejected,6,11,446,441,451,,,,,,
58,accepted,7,21,449,444,454,5,1,444,481,444,449
59,accepted,47,53,489,484,494,1,1,486,501,485,490
60,rejected,33,49,518,513,523,,,,,,
