instance_id,instance,seed,group,pb_requests,rt_requests,phase1_pb_accepted,phase1_objective,phase1_dtd,phase1_ivt,phase1_time_s,phase2_pb_accepted,phase2_objective,phase2_dtd,phase2_ivt,phase2_time_s,pb_accepted,rt_accepted,total_accepted,objective,total_dtd,total_ivt,phase3_solver_time_s,phase3_wall_time_s,phase3_epochs,phase3_max_epoch_s,phase3_avg_epoch_s,vehicle_trips_used,cw_violations
leuven-09_s1,leuven-09,1,Leuven,50,50,37,13568.0,114.0,454.0,144.624,37,13568.0,114.0,454.0,6.027,37,15,52,48845.0,152.0,693.0,2.056,4.082,45,0.086,0.046,6,0
leuven-09_s2,leuven-09,2,Leuven,50,50,36,14578.0,99.0,479.0,125.853,36,14578.0,99.0,479.0,5.575,36,19,55,46009.0,158.0,851.0,2.766,5.408,43,0.13,0.064,6,0
leuven-09_s3,leuven-09,3,Leuven,50,50,34,16526.0,103.0,423.0,130.962,34,16526.0,103.0,423.0,5.531,34,20,54,47047.0,167.0,880.0,2.833,5.721,40,0.11,0.071,6,0
leuven-10_s1,leuven-10,1,Leuven,50,50,36,14579.0,119.0,460.0,134.126,36,14579.0,119.0,460.0,5.919,36,14,50,50772.0,149.0,623.0,1.538,3.096,42,0.092,0.037,7,0
leuven-10_s2,leuven-10,2,Leuven,50,50,38,12673.0,106.0,567.0,101.979,38,12673.0,106.0,567.0,5.598,38,23,61,40116.0,171.0,945.0,2.603,5.327,41,0.109,0.064,7,0
leuven-10_s3,leuven-10,3,Leuven,50,50,39,11589.0,104.0,485.0,92.547,39,11587.0,102.0,485.0,5.594,39,16,55,45882.0,141.0,741.0,2.844,5.672,42,0.1,0.068,6,0
rand-01_s1,rand-01,1,random,40,40,27,13411.0,65.0,346.0,165.021,27,13411.0,65.0,346.0,5.562,27,23,50,30723.0,117.0,606.0,0.969,1.846,33,0.079,0.029,3,0
rand-01_s2,rand-01,2,random,40,40,28,12429.0,71.0,358.0,87.844,28,12429.0,71.0,358.0,5.67,28,22,50,30827.0,115.0,712.0,0.699,1.276,31,0.065,0.022,3,0
rand-01_s3,rand-01,3,random,40,40,36,4460.0,72.0,388.0,37.743,36,4450.0,65.0,385.0,5.901,36,23,59,21771.0,111.0,660.0,0.711,1.306,31,0.048,0.023,3,0
rand-02_s1,rand-02,1,random,50,50,42,8834.0,128.0,706.0,86.588,42,8834.0,128.0,706.0,6.282,42,23,65,36275.0,195.0,1080.0,1.345,2.589,40,0.063,0.033,4,0
rand-02_s2,rand-02,2,random,50,50,40,10670.0,126.0,544.0,96.632,40,10670.0,126.0,544.0,6.102,40,21,61,40119.0,194.0,925.0,1.302,2.481,40,0.067,0.033,4,0
rand-02_s3,rand-02,3,random,50,50,38,12658.0,127.0,531.0,114.04,38,12658.0,127.0,531.0,5.976,38,19,57,43969.0,176.0,793.0,1.352,2.555,38,0.064,0.035,4,0
rand-03_s1,rand-03,1,random,60,60,48,13568.0,111.0,1457.0,174.32,48,13568.0,111.0,1457.0,6.691,48,36,84,38538.0,190.0,2348.0,3.094,6.393,52,0.171,0.059,5,0
rand-03_s2,rand-03,2,random,60,60,43,17996.0,98.0,898.0,134.954,43,17996.0,98.0,898.0,5.793,43,26,69,52818.0,161.0,1657.0,2.582,5.186,48,0.137,0.054,5,0
rand-03_s3,rand-03,3,random,60,60,49,12376.0,151.0,1225.0,110.443,49,12376.0,151.0,1225.0,6.065,49,26,75,47157.0,216.0,1941.0,2.738,5.528,47,0.087,0.058,5,0
