request_id,type,request_time,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub,dtd,ivt
0,PB,-3840,accepted,3,17,471,461.0,481.0,3,2,472,500,467,477,1,28
1,PB,-3821,accepted,7,15,474,464.0,484.0,3,2,477,498,471,481,3,21
2,PB,-3635,accepted,27,37,511,501.0,521.0,3,2,515,523,508,518,4,8
3,PB,-3623,accepted,24,25,431,421.0,441.0,4,1,433,436,426,436,2,3
4,PB,-3414,accepted,30,33,442,432.0,452.0,3,1,432,433,432,442,10,1
5,PB,-3337,accepted,35,47,496,486.0,506.0,1,2,491,517,489,499,5,26
6,PB,-3308,accepted,38,43,450,440.0,460.0,3,1,444,454,442,452,6,10
7,PB,-3302,accepted,4,10,474,464.0,484.0,3,2,473,483,469,479,1,10
8,PB,-3170,accepted,33,40,511,501.0,521.0,2,2,506,523,504,514,5,17
9,PB,-3134,accepted,14,17,458,448.0,468.0,1,2,448,452,448,458,10,4
10,PB,-3075,accepted,2,14,467,457.0,477.0,3,2,470,496,464,474,3,26
11,PB,-3021,accepted,33,34,464,454.0,474.0,4,1,457,457,457,467,7,0
12,PB,-2955,accepted,31,43,445,435.0,455.0,4,1,453,479,445,455,8,26
13,PB,-2920,accepted,38,44,514,504.0,524.0,2,2,517,529,511,521,3,12
14,PB,-2853,accepted,17,20,413,403.0,423.0,3,1,410,413,407,417,3,3
15,PB,-2819,accepted,4,24,454,444.0,464.0,2,2,452,486,448,458,2,34
16,PB,-2727,accepted,17,23,450,440.0,460.0,1,2,453,456,447,457,3,3
17,PB,-2691,accepted,32,40,494,484.0,504.0,1,2,487,505,486,496,7,18
18,PB,-2676,accepted,12,17,486,476.0,496.0,3,2,490,500,483,493,4,10
19,PB,-2580,accepted,37,41,439,429.0,449.0,3,1,439,451,434,444,0,12
20,PB,-2558,accepted,7,11,447,437.0,457.0,2,2,456,463,447,457,9,7
21,PB,-2467,accepted,43,47,483,473.0,493.0,4,1,480,482,477,487,3,2
22,PB,-2388,accepted,13,18,373,363.0,383.0,2,1,373,382,368,378,0,9
23,PB,-2334,accepted,33,43,511,501.0,521.0,2,2,506,526,504,514,5,20
24,PB,-2320,accepted,31,34,476,466.0,486.0,1,2,484,488,475,485,8,4
25,PB,-2301,accepted,28,45,467,457.0,477.0,1,2,473,512,465,475,6,39
26,PB,-2299,accepted,11,19,483,473.0,493.0,3,2,485,502,479,489,2,17
27,PB,-2218,accepted,44,49,438,428.0,448.0,2,1,439,443,434,444,1,4
28,PB,-2173,accepted,27,30,417,407.0,427.0,2,1,416,418,412,422,1,2
29,PB,-2151,accepted,31,35,508,498.0,518.0,2,2,502,508,500,510,6,6
30,PB,-2149,accepted,44,47,420,410.0,430.0,1,1,421,424,415,425,1,3
31,PB,-2066,accepted,41,47,442,432.0,452.0,3,1,452,457,442,452,10,5
32,PB,-2052,accepted,31,43,455,445.0,465.0,4,1,453,479,450,460,2,26
33,PB,-2039,accepted,13,14,452,442.0,462.0,1,2,443,447,443,453,9,4
34,PB,-2023,accepted,35,48,460,450.0,470.0,4,1,460,483,456,466,0,23
35,PB,-1879,accepted,35,41,465,455.0,475.0,4,1,460,475,459,469,5,15
36,PB,-1753,accepted,48,49,468,458.0,478.0,3,1,459,460,459,469,9,1
37,PB,-1714,accepted,16,21,458,448.0,468.0,1,2,451,454,450,460,7,3
38,PB,-1713,accepted,39,45,442,432.0,452.0,2,1,432,439,432,442,10,7
39,PB,-1700,accepted,30,39,491,481.0,501.0,2,2,498,518,490,500,7,20
40,PB,-1674,accepted,4,24,472,462.0,482.0,3,2,473,506,468,478,1,33
41,PB,-1575,accepted,10,22,467,457.0,477.0,2,2,463,484,460,470,4,21
42,PB,-1358,accepted,42,48,523,513.0,533.0,2,2,526,532,520,530,3,6
43,PB,-1324,accepted,33,49,450,440.0,460.0,4,1,457,485,450,460,7,28
44,PB,-1323,accepted,30,35,483,473.0,493.0,1,2,480,490,477,487,3,10
45,PB,-1314,accepted,1,13,447,437.0,457.0,2,2,450,470,444,454,3,20
46,PB,-1206,accepted,29,38,467,457.0,477.0,1,2,477,498,467,477,10,21
47,PB,-1115,accepted,27,36,509,499.0,519.0,3,2,515,521,507,517,6,6
48,PB,-1047,accepted,38,49,511,501.0,521.0,2,2,517,534,509,519,6,17
49,PB,-1010,rejected,32,35,474,464.0,484.0,,,,,,,,
50,RT,394,rejected,31,48,413,403.0,423.0,,,,,,,,
51,RT,396,accepted,32,48,411,401.0,421.0,1,1,401,425,401,411,10,24
52,RT,397,accepted,8,13,413,403.0,423.0,4,1,413,418,408,418,0,5
53,RT,399,accepted,30,41,428,418.0,438.0,3,1,432,451,425,435,4,19
54,RT,401,accepted,38,49,428,418.0,438.0,2,1,430,443,424,434,2,13
55,RT,401,rejected,28,31,414,404.0,424.0,,,,,,,,
56,RT,417,rejected,35,49,442,432.0,452.0,,,,,,,,
57,RT,419,rejected,3,21,444,434.0,454.0,,,,,,,,
58,RT,420,accepted,37,38,449,439.0,459.0,3,1,439,443,439,449,10,4
59,RT,422,accepted,29,49,438,428.0,448.0,4,1,446,485,437,447,8,39
60,RT,423,rejected,21,22,442,432.0,452.0,,,,,,,,
61,RT,425,rejected,28,30,438,428.0,448.0,,,,,,,,
62,RT,428,accepted,1,22,450,440.0,460.0,2,2,450,484,445,455,0,34
63,RT,429,accepted,44,50,446,436.0,456.0,2,1,439,448,437.5,447.5,7,9
64,RT,431,accepted,48,49,450,440.0,460.0,3,1,459,460,449.5,459.5,9,1
65,RT,432,accepted,33,41,457,447.0,467.0,4,1,457,475,452,462,0,18
66,RT,436,rejected,6,17,465,455.0,475.0,,,,,,,,
67,RT,437,accepted,33,36,448,438.0,458.0,4,1,457,460,447.5,457.5,9,3
68,RT,439,accepted,9,10,463,453.0,473.0,2,2,460,462,456.5,466.5,3,2
69,RT,446,rejected,31,43,466,456.0,476.0,,,,,,,,
70,RT,448,rejected,31,46,464,454.0,474.0,,,,,,,,
71,RT,448,accepted,2,25,478,468.0,488.0,3,2,470,510,469,479,8,40
