request_id,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub
0,accepted,40,45,421,411,431,2,1,423,429,417,427
1,accepted,36,43,467,457,477,3,1,464,481,461,471
2,accepted,33,34,479,469,489,2,2,487,487,478,488
3,accepted,32,48,514,504,524,1,2,506,532,505,515
4,accepted,28,44,490,480,500,4,2,495,533,488,498
5,accepted,30,37,508,498,518,1,2,505,511,502,512
6,accepted,41,44,527,517,537,4,2,528,533,523,533
7,accepted,38,42,504,494,514,2,2,497,507,496,506
8,accepted,39,40,489,479,499,2,2,499,503,489,499
9,accepted,35,38,511,501,521,4,2,512,519,507,517
10,accepted,30,49,502,492,512,1,2,505,534,499,509
11,accepted,31,38,483,473,493,2,2,483,496,478,488
12,accepted,35,40,473,463,483,3,1,463,477,463,473
13,accepted,26,34,458,448,468,3,1,452,460,450,460
14,accepted,29,31,506,496,516,4,2,499,505,498,508
15,accepted,1,18,457,447,467,1,2,466,488,457,467
16,accepted,14,24,464,454,474,2,2,459,467,457,467
17,accepted,31,43,445,435,455,1,1,436,455,436,446
18,accepted,19,24,489,479,499,1,2,490,493,485,495
19,accepted,37,44,499,489,509,2,2,492,511,491,501
20,accepted,30,38,499,489,509,1,2,505,516,497,507
21,accepted,43,45,518,508,528,2,2,509,512,509,519
22,accepted,27,41,504,494,514,1,2,502,524,498,508
23,accepted,20,22,398,388,408,4,1,398,404,393,403
24,accepted,30,39,480,470,490,2,2,479,498,475,485
25,accepted,1,23,450,440,460,4,2,451,478,446,456
26,accepted,42,44,448,438,458,4,1,440,443,439,449
27,accepted,41,47,475,465,485,3,1,479,484,472,482
28,accepted,30,48,476,466,486,2,2,479,517,473,483
29,accepted,33,45,444,434,454,1,1,440,458,437,447
30,accepted,31,40,500,490,510,4,2,506,526,498,508
31,accepted,11,15,450,440,460,2,2,447,460,444,454
32,accepted,37,40,419,409,429,2,1,411,422,410,420
33,accepted,27,38,503,493,513,1,2,502,516,498,508
34,accepted,31,40,481,471,491,2,2,483,503,477,487
35,rejected,6,11,481,471.0,491.0,,,,,,
36,accepted,14,21,467,457,477,4,2,471,476,464,474
37,accepted,7,13,460,450,470,4,2,457,465,454,464
38,accepted,42,48,523,513,533,1,2,528,532,521,531
39,accepted,33,48,424,414,434,4,1,424,446,419,429
40,accepted,41,46,507,497,517,2,2,505,515,501,511
41,accepted,30,41,405,395,415,2,1,405,423,400,410
42,accepted,33,39,460,450,470,3,1,460,472,455,465
43,accepted,5,14,478,468,488,1,2,470,483,469,479
44,accepted,37,43,494,484,504,2,2,492,508,488,498
45,accepted,31,47,507,497,517,4,2,506,537,502,512
46,accepted,27,32,507,497,517,1,2,502,505,500,510
47,accepted,35,36,455,445,465,3,1,463,463,454,464
48,accepted,34,38,458,448,468,3,1,461,470,455,465
49,accepted,39,47,510,500,520,1,2,519,531,510,520
