request_id,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub
1,accepted,24,30,445,440,450,3,1,446,454,443,448
2,accepted,24,30,445,440,450,3,1,446,454,443,448
3,accepted,33,38,463,458,468,2,1,462,471,460,465
4,rejected,34,35,421,416,426,,,,,,
5,rejected,27,36,416,411,421,,,,,,
6,accepted,31,32,445,440,450,1,1,440,442,440,445
7,accepted,28,31,428,423,433,1,1,433,439,428,433
8,accepted,25,32,445,440,450,2,1,443,459,442,447
9,accepted,34,36,464,459,469,3,1,464,468,462,467
10,accepted,24,25,445,440,450,2,1,440,442,440,445
11,accepted,22,35,443,438,448,3,1,442,465,440,445
12,accepted,4,9,395,390,400,2,1,395,400,393,398
13,accepted,14,20,427,422,432,3,1,425,438,424,429
14,accepted,27,40,449,444,454,3,1,450,479,447,452
15,accepted,22,24,435,430,440,2,1,437,439,434,439
16,accepted,22,27,443,438,448,3,1,442,449,440,445
17,accepted,25,26,424,419,429,1,1,426,427,423,428
18,accepted,4,9,410,405,415,3,1,405,412,405,410
19,accepted,37,38,448,443,453,1,1,453,455,448,453
20,accepted,30,37,455,450,460,2,1,454,468,452,457
21,accepted,24,36,445,440,450,3,1,446,468,443,448
22,accepted,22,31,443,438,448,3,1,442,457,440,445
23,accepted,21,35,441,436,446,3,1,440,465,438,443
24,accepted,23,36,424,419,429,1,1,423,449,421,426
25,accepted,34,39,463,458,468,2,1,464,474,461,466
26,accepted,9,15,416,411,421,3,1,413,426,412,417
27,accepted,5,12,411,406,416,3,1,407,421,407,412
28,accepted,14,19,427,422,432,3,1,425,435,424,429
29,accepted,27,34,430,425,435,1,1,430,445,428,433
30,rejected,27,38,412,407,417,,,,,,
31,accepted,32,33,461,456,466,2,1,460,461,458,463
32,accepted,14,17,427,422,432,3,1,425,431,424,429
33,accepted,27,38,432,427,437,1,1,430,455,429,434
34,accepted,23,30,444,439,449,3,1,444,454,442,447
35,rejected,29,38,425,420,430,,,,,,
36,accepted,21,27,421,416,426,1,1,421,429,419,424
37,accepted,30,31,455,450,460,3,1,455,457,453,458
38,accepted,34,36,464,459,469,3,1,464,468,462,467
39,accepted,26,28,440,435,445,2,1,445,449,440,445
40,accepted,31,39,458,453,463,2,1,457,474,455,460
