request_id,type,request_time,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub,dtd,ivt
0,PB,-3840,accepted,3,17,471,466.0,476.0,3,2,471,499,469,474,0,28
1,PB,-3821,accepted,7,15,474,469.0,479.0,3,2,476,497,473,478,2,21
2,PB,-3739,accepted,3,19,476,471.0,481.0,3,2,471,501,471,476,5,30
3,PB,-3661,accepted,38,41,478,473.0,483.0,4,1,479,486,476,481,1,7
4,PB,-3635,accepted,27,37,511,506.0,516.0,3,2,514,524,510,515,3,10
5,PB,-3623,accepted,24,25,431,426.0,436.0,3,1,426,429,426,431,5,3
6,PB,-3482,accepted,1,2,426,421.0,431.0,4,1,422,424,422,427,4,2
7,PB,-3414,accepted,30,33,442,437.0,447.0,3,1,437,444,437,442,5,7
8,PB,-3377,accepted,40,46,517,512.0,522.0,1,2,513,519,513,518,4,6
9,PB,-3353,accepted,35,41,511,506.0,516.0,2,2,511,526,509,514,0,15
10,PB,-3348,accepted,36,50,497,492.0,502.0,1,2,499,530,496,501,2,31
11,PB,-3337,accepted,35,47,496,491.0,501.0,1,2,498,522,495,500,2,24
12,PB,-3308,accepted,38,43,450,445.0,455.0,3,1,455,460,450,455,5,5
13,PB,-3302,accepted,4,10,474,469.0,479.0,3,2,472,482,471,476,2,10
14,PB,-3238,accepted,7,21,431,426.0,436.0,4,1,429,448,428,433,2,19
15,PB,-3170,accepted,33,40,511,506.0,516.0,2,2,508,525,507,512,3,17
16,PB,-3134,accepted,14,17,458,453.0,463.0,1,2,462,465,458,463,4,3
17,PB,-3075,accepted,2,14,467,462.0,472.0,3,2,469,495,466,471,2,26
18,PB,-3021,accepted,33,34,464,459.0,469.0,4,1,469,469,464,469,5,0
19,PB,-2955,accepted,31,43,445,440.0,450.0,3,1,441,460,441,446,4,19
20,PB,-2920,accepted,38,44,514,509.0,519.0,2,2,519,532,514,519,5,13
21,PB,-2911,accepted,3,4,458,453.0,463.0,2,2,458,458,456,461,0,0
22,PB,-2853,accepted,17,20,413,408.0,418.0,3,1,415,418,412,417,2,3
23,PB,-2819,accepted,4,24,454,449.0,459.0,2,2,459,487,454,459,5,28
24,PB,-2759,accepted,1,5,454,449.0,459.0,2,2,455,461,452,457,1,6
25,PB,-2727,accepted,17,23,450,445.0,455.0,4,1,447,450,446,451,3,3
26,PB,-2691,accepted,32,40,494,489.0,499.0,1,2,494,512,492,497,0,18
27,PB,-2676,accepted,12,17,486,481.0,491.0,3,2,489,499,485,490,3,10
28,PB,-2644,accepted,30,37,490,485.0,495.0,1,2,493,500,489,494,3,7
29,PB,-2631,accepted,26,38,458,453.0,463.0,4,1,461,478,457,462,3,17
30,PB,-2624,accepted,8,16,460,455.0,465.0,2,2,465,478,460,465,5,13
31,PB,-2580,accepted,37,41,439,434.0,444.0,2,1,434,446,434,439,5,12
32,PB,-2558,accepted,7,11,447,442.0,452.0,1,2,444,449,443,448,3,5
33,PB,-2467,rejected,43,47,483,478.0,488.0,,,,,,,,
34,PB,-2388,accepted,13,18,373,368.0,378.0,2,1,373,382,371,376,0,9
35,PB,-2334,accepted,33,43,511,506.0,516.0,2,2,508,529,507,512,3,21
36,PB,-2320,rejected,31,34,476,471.0,481.0,,,,,,,,
37,PB,-2301,rejected,28,45,467,462.0,472.0,,,,,,,,
38,PB,-2299,accepted,11,19,483,478.0,488.0,3,2,484,501,481,486,1,17
39,PB,-2251,accepted,30,47,500,495.0,505.0,2,2,500,537,498,503,0,37
40,PB,-2218,rejected,44,49,438,433.0,443.0,,,,,,,,
41,PB,-2173,accepted,27,30,417,412.0,422.0,1,1,413,415,413,418,4,2
42,PB,-2151,accepted,31,35,508,503.0,513.0,2,2,504,510,504,509,4,6
43,PB,-2149,rejected,44,47,420,415.0,425.0,,,,,,,,
44,PB,-2066,rejected,41,47,442,437.0,447.0,,,,,,,,
45,PB,-2058,rejected,44,46,510,505.0,515.0,,,,,,,,
46,PB,-2052,rejected,31,43,455,450.0,460.0,,,,,,,,
47,PB,-2039,accepted,13,14,452,447.0,457.0,1,2,457,461,452,457,5,4
48,PB,-2023,rejected,35,48,460,455.0,465.0,,,,,,,,
49,PB,-1879,rejected,35,41,465,460.0,470.0,,,,,,,,
50,PB,-1874,accepted,3,25,454,449.0,459.0,2,2,458,491,454,459,4,33
51,PB,-1753,rejected,48,49,468,463.0,473.0,,,,,,,,
52,PB,-1714,rejected,16,21,458,453.0,463.0,,,,,,,,
53,PB,-1713,rejected,39,45,442,437.0,447.0,,,,,,,,
54,PB,-1700,accepted,30,39,491,486.0,496.0,1,2,493,507,490,495,2,14
55,PB,-1674,accepted,4,24,472,467.0,477.0,3,2,472,505,470,475,0,33
56,PB,-1633,accepted,37,43,512,507.0,517.0,2,2,514,529,511,516,2,15
57,PB,-1629,accepted,39,47,524,519.0,529.0,2,2,521,537,520,525,3,16
58,PB,-1575,rejected,10,22,467,462.0,472.0,,,,,,,,
59,PB,-1358,rejected,42,48,523,518.0,528.0,,,,,,,,
60,PB,-1324,rejected,33,49,450,445.0,455.0,,,,,,,,
61,PB,-1323,rejected,30,35,483,478.0,488.0,,,,,,,,
62,PB,-1314,rejected,1,13,447,442.0,452.0,,,,,,,,
63,PB,-1206,rejected,29,38,467,462.0,472.0,,,,,,,,
64,PB,-1122,rejected,6,12,417,412.0,422.0,,,,,,,,
65,PB,-1115,accepted,27,36,509,504.0,514.0,3,2,514,522,509,514,5,8
66,PB,-1047,accepted,38,49,511,506.0,516.0,1,2,506,525,506,511,5,19
67,PB,-1042,accepted,26,28,421,416.0,426.0,2,1,420,425,418,423,1,5
68,PB,-1010,rejected,32,35,474,469.0,479.0,,,,,,,,
69,PB,-928,rejected,33,46,514,509.0,519.0,,,,,,,,
70,RT,391,rejected,35,49,410,405.0,415.0,,,,,,,,
71,RT,394,rejected,31,48,413,408.0,418.0,,,,,,,,
72,RT,397,rejected,8,13,413,408.0,418.0,,,,,,,,
73,RT,401,rejected,38,49,428,423.0,433.0,,,,,,,,
74,RT,401,rejected,28,31,414,409.0,419.0,,,,,,,,
75,RT,417,rejected,35,49,442,437.0,447.0,,,,,,,,
76,RT,419,accepted,3,21,444,439.0,449.0,1,2,441,468,440,445,3,27
77,RT,423,rejected,21,22,442,437.0,447.0,,,,,,,,
78,RT,428,accepted,1,22,450,445.0,455.0,2,2,455,485,450,455,5,30
79,RT,429,rejected,44,50,446,441.0,451.0,,,,,,,,
80,RT,432,rejected,33,41,457,452.0,462.0,,,,,,,,
81,RT,436,rejected,6,17,465,460.0,470.0,,,,,,,,
82,RT,437,accepted,33,36,448,443.0,453.0,3,1,445,447,444,449,3,2
83,RT,446,rejected,31,43,466,461.0,471.0,,,,,,,,
84,RT,451,rejected,10,15,457,452.0,462.0,,,,,,,,
85,RT,451,accepted,19,21,465,460.0,470.0,1,2,468,468,464,469,3,0
86,RT,452,accepted,2,3,472,467.0,477.0,3,2,469,470,468,473,3,1
87,RT,459,rejected,31,50,481,476.0,486.0,,,,,,,,
88,RT,460,rejected,8,20,471,466.0,476.0,,,,,,,,
89,RT,462,rejected,19,25,490,485.0,495.0,,,,,,,,
90,RT,472,accepted,35,48,498,493.0,503.0,1,2,498,523,495.5,500.5,0,25
91,RT,474,accepted,32,49,496,491.0,501.0,1,2,494,525,492.5,497.5,2,31
92,RT,476,accepted,30,39,490,485.0,495.0,1,2,493,507,489,494,3,14
93,RT,477,rejected,36,38,482,477.0,487.0,,,,,,,,
94,RT,480,accepted,27,28,510,505.0,515.0,3,2,514,516,509.5,514.5,4,2
95,RT,485,accepted,35,41,513,508.0,518.0,2,2,511,526,509.5,514.5,2,15
96,RT,487,accepted,34,46,504,499.0,509.0,2,2,509,534,504,509,5,25
97,RT,495,accepted,41,50,510,505.0,515.0,1,2,514,530,509.5,514.5,4,16
98,RT,497,rejected,32,42,505,500.0,510.0,,,,,,,,
99,RT,514,accepted,40,47,527,522.0,532.0,2,2,526,537,524,529,1,11
