request_id,type,request_time,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub,dtd,ivt
0,PB,-3828,accepted,44,46,483,473,493,4,1,486,487,479,489,3,1
1,PB,-3805,accepted,34,47,428,418,438,2,1,418,435,418,428,10,17
2,PB,-3761,accepted,39,50,526,516,536,3,2,530,538,523,533,4,8
3,PB,-3590,accepted,31,36,467,457,477,4,1,461,468,459,469,6,7
4,PB,-3586,accepted,47,48,504,494,514,2,2,514,514,504,514,10,0
5,PB,-3529,accepted,33,44,491,481,501,2,2,486,506,484,494,5,20
6,PB,-3420,accepted,18,24,434,424,444,4,1,433,437,429,439,1,4
7,PB,-3371,accepted,39,40,525,515,535,1,2,520,524,518,528,5,4
8,PB,-3357,accepted,33,50,478,468,488,2,2,486,521,477,487,8,35
9,PB,-3270,accepted,35,38,511,501,521,1,2,510,517,506,516,1,7
10,PB,-3160,accepted,33,48,435,425,445,1,1,425,447,425,435,10,22
11,PB,-3140,accepted,9,25,417,407,427,4,1,417,441,412,422,0,24
12,PB,-3136,accepted,43,44,497,487,507,2,2,504,506,496,506,7,2
13,PB,-3108,accepted,32,36,481,471,491,2,2,485,489,478,488,4,4
14,PB,-3042,accepted,30,41,503,493,513,1,2,499,525,496,506,4,26
15,PB,-3038,accepted,37,47,487,477,497,2,2,492,513,485,495,5,21
16,PB,-2853,accepted,17,20,413,403,423,3,1,412,416,408,418,1,4
17,PB,-2839,accepted,30,49,421,411,431,2,1,415,438,414,424,6,23
18,PB,-2794,accepted,32,41,500,490,510,1,2,506,525,498,508,6,19
19,PB,-2624,accepted,8,16,460,450,470,1,2,462,475,456,466,2,13
20,PB,-2586,accepted,26,35,476,466,486,2,2,476,488,471,481,0,12
21,PB,-2498,accepted,29,43,477,467,487,2,2,481,503,474,484,4,22
22,PB,-2416,accepted,38,42,521,511,531,3,2,528,533,520,530,7,5
23,PB,-2377,accepted,6,16,458,448,468,1,2,459,475,454,464,1,16
24,PB,-2345,accepted,42,44,448,438,458,1,1,441,444,440,450,7,3
25,PB,-2334,accepted,34,43,428,418,438,1,1,426,441,422,432,2,15
26,PB,-2318,accepted,38,41,458,448,468,3,1,449,456,449,459,9,7
27,PB,-2246,accepted,5,19,466,456,476,3,2,469,495,463,473,3,26
28,PB,-2134,accepted,33,35,474,464,484,4,1,465,467,464,474,9,2
29,PB,-2061,accepted,17,23,476,466,486,1,2,478,482,472,482,2,4
30,PB,-2024,accepted,45,48,506,496,516,2,2,508,514,502,512,2,6
