request_id,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub
1,accepted,11,14,508,503,513,2,1,506,520,505,510
2,accepted,20,26,603,598,608,4,1,603,633,601,606
3,accepted,23,26,616,611,621,4,1,619,633,615,620
4,accepted,7,11,531,526,536,4,1,526,550,526,531
5,accepted,21,29,521,516,526,1,1,526,563,521,526
6,accepted,3,15,511,506,516,4,1,508,576,507,512
7,accepted,8,9,513,508,518,3,1,509,516,509,514
8,accepted,19,20,544,539,549,2,1,545,549,542,547
9,accepted,10,13,522,517,527,3,1,522,535,520,525
10,accepted,1,3,501,496,506,4,1,500,507,498,503
11,rejected,8,11,398,393,403,,,,,,
12,accepted,21,25,608,603,613,4,1,608,629,606,611
13,rejected,16,17,465,460,470,,,,,,
14,accepted,22,30,588,583,593,3,1,584,632,584,589
15,accepted,10,14,550,545,555,4,1,546,565,546,551
16,accepted,17,26,569,564,574,3,1,564,604,564,569
17,rejected,23,29,579,574,584,,,,,,
18,accepted,2,9,433,428,438,1,1,432,463,430,435
19,rejected,24,27,562,557,567,,,,,,
20,rejected,26,29,503,498,508,,,,,,
21,rejected,21,28,532,527,537,,,,,,
22,accepted,7,9,521,516,526,4,1,526,540,521,526
23,accepted,17,27,568,563,573,3,1,564,609,564,569
24,accepted,21,22,608,603,613,4,1,608,612,606,611
25,accepted,18,22,563,558,568,3,1,568,583,563,568
26,accepted,20,28,603,598,608,4,1,603,641,601,606
27,accepted,24,27,566,561,571,2,1,571,581,566,571
28,rejected,21,22,469,464,474,,,,,,
29,accepted,17,23,591,586,596,4,1,590,618,588,593
30,accepted,3,10,511,506,516,4,1,508,545,507,512
