request_id,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub
0,accepted,31,50,460,455,465,3,1,464,494,460,465
1,accepted,27,42,478,473,483,4,1,483,507,478,483
2,accepted,28,41,458,453,463,3,1,458,485,456,461
3,accepted,36,42,476,471,481,3,1,471,488,471,476
4,accepted,29,43,505,500,510,2,2,505,531,503,508
5,accepted,21,24,435,430,440,3,1,432,434,431,436
6,accepted,10,13,440,435,445,4,1,435,442,435,440
7,accepted,8,11,469,464,474,2,2,471,473,468,473
8,accepted,21,24,449,444,454,4,1,454,456,449,454
9,accepted,26,47,433,428,438,2,1,433,463,431,436
10,accepted,27,40,410,405,415,1,1,407,429,406,411
11,accepted,34,45,444,439,449,2,1,441,458,440,445
12,accepted,18,21,482,477,487,1,2,477,478,477,482
13,accepted,11,22,456,451,461,1,2,460,481,456,461
14,accepted,29,31,506,501,511,2,2,505,511,503,508
15,accepted,34,38,511,506,516,2,2,516,525,511,516
16,accepted,41,49,515,510,520,1,2,516,524,513,518
17,rejected,4,12,442,437.0,447.0,,,,,,
18,accepted,28,46,410,405,415,1,1,410,435,408,413
19,accepted,29,49,485,480,490,4,1,485,512,483,488
20,accepted,30,32,463,458,468,3,1,460,466,459,464
21,accepted,1,5,454,449,459,1,2,450,453,450,455
22,rejected,6,14,457,452.0,462.0,,,,,,
23,accepted,40,42,508,503,513,4,1,506,507,505,510
24,accepted,28,43,500,495,505,1,2,495,518,495,500
25,accepted,29,35,508,503,513,2,2,505,517,504,509
26,rejected,43,47,483,478.0,488.0,,,,,,
27,accepted,12,14,419,414,424,3,1,419,425,417,422
28,accepted,41,43,514,509,519,1,2,516,518,513,518
29,rejected,6,16,458,453.0,463.0,,,,,,
30,rejected,3,6,435,430.0,440.0,,,,,,
31,rejected,38,44,488,483.0,493.0,,,,,,
32,accepted,30,31,506,501,511,2,2,508,511,505,510
33,accepted,39,47,479,474,484,3,1,480,492,477,482
34,accepted,31,35,508,503,513,2,2,512,517,508,513
35,accepted,43,47,517,512,522,1,2,519,521,516,521
36,rejected,33,45,428,423.0,433.0,,,,,,
37,accepted,1,24,407,402,412,2,1,404,427,403,408
38,rejected,1,10,421,416.0,426.0,,,,,,
39,rejected,19,20,499,494.0,504.0,,,,,,
40,accepted,30,39,491,486,496,4,1,488,500,487,492
41,rejected,40,50,493,488.0,498.0,,,,,,
42,rejected,15,16,447,442.0,452.0,,,,,,
43,accepted,34,50,474,469,479,3,1,469,494,469,474
44,accepted,27,43,505,500,510,2,2,503,531,502,507
45,accepted,26,36,482,477,487,4,1,480,491,479,484
46,rejected,12,21,451,446.0,456.0,,,,,,
47,accepted,26,27,484,479,489,1,2,489,491,484,489
48,rejected,31,41,474,469.0,479.0,,,,,,
49,rejected,32,35,474,469.0,479.0,,,,,,
