request_id,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub
1,accepted,17,23,449,439,459,3,1,453,465,446,456
2,accepted,33,44,507,497,517,4,1,503,523,500,510
3,accepted,38,44,514,504,524,4,1,513,523,509,519
4,accepted,12,17,468,458,478,4,1,460,470,459,469
5,accepted,35,47,456,446,466,2,1,463,488,455,465
6,accepted,4,24,452,442,462,4,1,442,485,442,452
7,accepted,13,14,452,442,462,4,1,462,464,452,462
8,accepted,31,34,470,460,480,3,1,479,483,470,480
9,accepted,16,21,457,447,467,3,1,451,461,449,459
10,accepted,1,4,446,436,456,4,1,436,441,436,446
11,accepted,13,18,385,375,395,1,1,385,391,380,390
12,accepted,35,41,511,501,521,4,1,506,518,504,514
13,accepted,26,28,423,413,433,1,1,419,421,416,426
14,accepted,36,50,497,487,507,3,1,489,515,488,498
15,accepted,16,24,475,465,485,4,1,469,485,467,477
16,accepted,27,43,485,475,495,4,1,493,521,484,494
17,accepted,38,49,492,482,502,3,1,492,512,487,497
18,accepted,3,14,404,394,414,2,1,404,423,399,409
19,accepted,40,45,481,471,491,2,1,474,482,473,483
20,accepted,44,49,446,436,456,1,1,449,461,443,453
21,accepted,35,46,463,453,473,2,1,463,485,458,468
22,accepted,11,15,457,447,467,4,1,457,466,452,462
23,accepted,28,45,485,475,495,4,1,495,525,485,495
24,accepted,35,37,511,501,521,4,1,506,510,504,514
25,accepted,30,35,482,472,492,3,1,477,486,475,485
26,accepted,33,46,507,497,517,4,1,503,528,500,510
27,accepted,41,44,483,473,493,2,1,476,480,475,485
28,accepted,34,36,425,415,435,1,1,432,434,424,434
29,accepted,27,38,497,487,507,4,1,493,512,490,500
30,accepted,4,17,452,442,462,4,1,442,470,442,452
31,accepted,46,47,454,444,464,1,1,454,456,449,459
32,accepted,5,13,437,427,447,3,1,431,445,429,439
33,accepted,36,37,455,445,465,2,1,465,467,455,465
34,accepted,8,12,460,450,470,4,1,451,459,451,461
35,accepted,33,43,473,463,483,3,1,482,500,473,483
36,accepted,6,14,456,446,466,4,1,447,464,447,457
37,accepted,30,49,488,478,498,4,1,498,536,488,498
38,accepted,21,24,442,432,452,2,1,437,443,435,445
39,accepted,40,44,487,477,497,3,1,497,502,487,497
40,accepted,42,43,445,435,455,1,1,445,446,440,450
41,accepted,40,45,520,510,530,4,1,517,525,514,524
42,accepted,30,39,481,471,491,3,1,477,494,474,484
43,accepted,30,46,461,451,471,2,1,455,485,453,463
44,accepted,35,48,494,484,504,3,1,487,509,486,496
45,accepted,9,24,462,452,472,4,1,453,485,453,463
46,accepted,33,47,461,451,471,2,1,460,488,456,466
47,accepted,13,14,460,450,470,4,1,462,464,456,466
48,accepted,37,40,468,458,478,2,1,468,473,463,473
49,accepted,3,13,427,417,437,3,1,427,445,422,432
50,accepted,45,47,527,517,537,4,1,526,531,522,532
