request_id,type,request_time,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub,dtd,ivt
0,PB,-3840,accepted,3,17,471,468.0,474.0,3,2,469,489,469,472,2,20
1,PB,-3821,accepted,7,15,474,471.0,477.0,3,2,472,487,472,475,2,15
2,PB,-3635,accepted,27,37,511,508.0,514.0,4,2,509,518,509,512,2,9
3,PB,-3623,accepted,24,25,431,428.0,434.0,4,1,430,433,429,432,1,3
4,PB,-3414,accepted,30,33,442,439.0,445.0,4,1,441,448,440,443,1,7
5,PB,-3337,accepted,35,47,496,493.0,499.0,1,2,497,518,495,498,1,21
6,PB,-3308,accepted,38,43,450,447.0,453.0,3,1,447,457,447,450,3,10
7,PB,-3302,accepted,4,10,474,471.0,477.0,4,2,472,478,472,475,2,6
8,PB,-3170,accepted,33,40,511,508.0,514.0,4,2,514,530,511,514,3,16
9,PB,-3134,accepted,14,17,458,455.0,461.0,1,2,460,463,458,461,2,3
10,PB,-3075,accepted,2,14,467,464.0,470.0,3,2,467,485,466,469,0,18
11,PB,-3021,accepted,33,34,464,461.0,467.0,2,2,464,464,463,466,0,0
12,PB,-2955,accepted,31,43,445,442.0,448.0,4,1,445,464,444,447,0,19
13,PB,-2920,accepted,38,44,514,511.0,517.0,3,2,517,526,514,517,3,9
14,PB,-2853,accepted,17,20,413,410.0,416.0,3,1,413,416,412,415,0,3
15,PB,-2819,rejected,4,24,454,451.0,457.0,,,,,,,,
16,PB,-2727,rejected,17,23,450,447.0,453.0,,,,,,,,
17,PB,-2691,accepted,32,40,494,491.0,497.0,1,2,493,511,492,495,1,18
18,PB,-2676,accepted,12,17,486,483.0,489.0,4,2,485,495,484,487,1,10
19,PB,-2580,accepted,37,41,439,436.0,442.0,3,1,442,454,439,442,3,12
20,PB,-2558,rejected,7,11,447,444.0,450.0,,,,,,,,
21,PB,-2467,accepted,43,47,483,480.0,486.0,2,2,486,488,483,486,3,2
22,PB,-2388,accepted,13,18,373,370.0,376.0,2,1,373,382,372,375,0,9
23,PB,-2334,accepted,33,43,511,508.0,514.0,4,2,514,533,511,514,3,19
24,PB,-2320,rejected,31,34,476,473.0,479.0,,,,,,,,
25,PB,-2301,rejected,28,45,467,464.0,470.0,,,,,,,,
26,PB,-2299,rejected,11,19,483,480.0,486.0,,,,,,,,
27,PB,-2218,accepted,44,49,438,435.0,441.0,1,1,435,438,435,438,3,3
28,PB,-2173,rejected,27,30,417,414.0,420.0,,,,,,,,
29,PB,-2151,rejected,31,35,508,505.0,511.0,,,,,,,,
30,PB,-2149,accepted,44,47,420,417.0,423.0,2,1,420,423,419,422,0,3
31,PB,-2066,rejected,41,47,442,439.0,445.0,,,,,,,,
32,PB,-2052,rejected,31,43,455,452.0,458.0,,,,,,,,
33,PB,-2039,accepted,13,14,452,449.0,455.0,1,2,455,459,452,455,3,4
34,PB,-2023,rejected,35,48,460,457.0,463.0,,,,,,,,
35,PB,-1879,accepted,35,41,465,462.0,468.0,2,2,467,482,465,468,2,15
36,PB,-1753,rejected,48,49,468,465.0,471.0,,,,,,,,
37,PB,-1714,rejected,16,21,458,455.0,461.0,,,,,,,,
38,PB,-1713,rejected,39,45,442,439.0,445.0,,,,,,,,
39,PB,-1700,accepted,30,39,491,488.0,494.0,1,2,492,506,490,493,1,14
40,PB,-1674,accepted,4,24,472,469.0,475.0,4,2,472,500,471,474,0,28
41,PB,-1575,rejected,10,22,467,464.0,470.0,,,,,,,,
42,PB,-1358,accepted,42,48,523,520.0,526.0,3,2,523,530,522,525,0,7
43,PB,-1324,rejected,33,49,450,447.0,453.0,,,,,,,,
44,PB,-1323,rejected,30,35,483,480.0,486.0,,,,,,,,
45,PB,-1314,accepted,1,13,447,444.0,450.0,1,2,445,454,445,448,2,9
46,PB,-1206,rejected,29,38,467,464.0,470.0,,,,,,,,
47,PB,-1115,accepted,27,36,509,506.0,512.0,4,2,509,516,508,511,0,7
48,PB,-1047,rejected,38,49,511,508.0,514.0,,,,,,,,
49,PB,-1010,rejected,32,35,474,471.0,477.0,,,,,,,,
50,RT,394,rejected,31,48,413,410.0,416.0,,,,,,,,
51,RT,396,rejected,32,48,411,408.0,414.0,,,,,,,,
52,RT,397,accepted,8,13,413,410.0,416.0,4,1,410,415,410,413,3,5
53,RT,399,rejected,30,41,428,425.0,431.0,,,,,,,,
54,RT,401,accepted,38,49,428,425.0,431.0,1,1,426,438,425.5,428.5,2,12
55,RT,401,rejected,28,31,414,411.0,417.0,,,,,,,,
56,RT,417,rejected,35,49,442,439.0,445.0,,,,,,,,
57,RT,419,rejected,3,21,444,441.0,447.0,,,,,,,,
58,RT,420,rejected,37,38,449,446.0,452.0,,,,,,,,
59,RT,422,rejected,29,49,438,435.0,441.0,,,,,,,,
60,RT,423,rejected,21,22,442,439.0,445.0,,,,,,,,
61,RT,425,rejected,28,30,438,435.0,441.0,,,,,,,,
62,RT,428,rejected,1,22,450,447.0,453.0,,,,,,,,
63,RT,429,rejected,44,50,446,443.0,449.0,,,,,,,,
64,RT,431,rejected,48,49,450,447.0,453.0,,,,,,,,
65,RT,432,rejected,33,41,457,454.0,460.0,,,,,,,,
66,RT,436,rejected,6,17,465,462.0,468.0,,,,,,,,
67,RT,437,accepted,33,36,448,445.0,451.0,4,1,449,451,447,450,1,2
68,RT,439,rejected,9,10,463,460.0,466.0,,,,,,,,
69,RT,446,rejected,31,43,466,463.0,469.0,,,,,,,,
70,RT,448,rejected,31,46,464,461.0,467.0,,,,,,,,
71,RT,448,rejected,2,25,478,475.0,481.0,,,,,,,,
72,RT,450,rejected,37,42,472,469.0,475.0,,,,,,,,
73,RT,451,rejected,10,15,457,454.0,460.0,,,,,,,,
74,RT,451,accepted,19,21,465,462.0,468.0,1,2,466,466,464,467,1,0
75,RT,451,rejected,43,50,476,473.0,479.0,,,,,,,,
76,RT,452,rejected,2,3,472,469.0,475.0,,,,,,,,
77,RT,459,rejected,31,50,481,478.0,484.0,,,,,,,,
78,RT,460,rejected,8,20,471,468.0,474.0,,,,,,,,
79,RT,462,rejected,19,25,490,487.0,493.0,,,,,,,,
80,RT,464,accepted,29,43,488,485.0,491.0,1,2,489,515,486.5,489.5,1,26
81,RT,472,accepted,35,48,498,495.0,501.0,1,2,497,519,495.5,498.5,1,22
82,RT,474,accepted,32,49,496,493.0,499.0,1,2,493,521,493,496,3,28
83,RT,476,accepted,30,39,490,487.0,493.0,1,2,492,506,489.5,492.5,2,14
84,RT,477,rejected,36,38,482,479.0,485.0,,,,,,,,
85,RT,479,rejected,45,48,501,498.0,504.0,,,,,,,,
86,RT,480,rejected,27,28,510,507.0,513.0,,,,,,,,
87,RT,483,accepted,14,25,493,490.0,496.0,4,2,492,504,491,494,1,12
88,RT,484,accepted,26,50,498,495.0,501.0,3,2,500,533,497.5,500.5,2,33
89,RT,485,rejected,35,41,513,510.0,516.0,,,,,,,,
90,RT,485,rejected,36,49,494,491.0,497.0,,,,,,,,
91,RT,487,rejected,34,46,504,501.0,507.0,,,,,,,,
92,RT,494,accepted,30,46,508,505.0,511.0,3,2,506,528,505.5,508.5,2,22
93,RT,495,accepted,41,50,510,507.0,513.0,1,2,513,526,510,513,3,13
94,RT,497,rejected,45,50,524,521.0,527.0,,,,,,,,
95,RT,497,rejected,28,33,512,509.0,515.0,,,,,,,,
96,RT,497,rejected,32,42,505,502.0,508.0,,,,,,,,
97,RT,500,rejected,35,50,510,507.0,513.0,,,,,,,,
98,RT,505,rejected,41,46,529,526.0,532.0,,,,,,,,
99,RT,514,rejected,40,47,527,524.0,530.0,,,,,,,,
