request_id,type,request_time,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub,dtd,ivt
0,PB,-3755,accepted,28,33,462,457,467,4,1,460,463,459,464,2,3
1,PB,-3708,accepted,31,32,489,484,494,1,2,487,489,486,491,2,2
2,PB,-3661,accepted,38,41,478,473,483,4,1,474,481,474,479,4,7
3,PB,-3574,accepted,5,19,455,450,460,2,2,460,479,455,460,5,19
4,PB,-3568,accepted,1,24,460,455,465,2,2,456,483,456,461,4,27
5,PB,-3540,accepted,9,13,446,441,451,1,2,446,451,443,448,0,5
6,PB,-3489,accepted,4,13,476,471,481,3,2,478,486,475,480,2,8
7,PB,-3375,accepted,29,49,447,442,452,3,1,445,469,444,449,2,24
8,PB,-3286,accepted,30,50,509,504,514,3,2,512,539,508,513,3,27
9,PB,-3255,accepted,27,32,414,409,419,1,1,414,417,412,417,0,3
10,PB,-3180,accepted,40,43,529,524,534,3,2,530,534,527,532,1,4
11,PB,-3173,accepted,30,38,457,452,462,4,1,462,473,457,462,5,11
12,PB,-3084,accepted,29,31,506,501,511,2,2,503,509,502,507,3,6
13,PB,-2997,rejected,41,44,496,491,501,,,,,,,,
14,PB,-2996,accepted,28,48,504,499,509,2,2,499,534,499,504,5,35
15,PB,-2911,rejected,3,4,458,453,463,,,,,,,,
16,PB,-2890,accepted,31,38,484,479,489,1,2,487,501,483,488,3,14
17,PB,-2878,accepted,18,25,429,424,434,3,1,430,438,427,432,1,8
18,PB,-2826,rejected,6,18,455,450,460,,,,,,,,
19,PB,-2806,accepted,39,40,480,475,485,4,1,476,480,476,481,4,4
20,PB,-2631,accepted,27,41,504,499,509,3,2,509,530,504,509,5,21
21,PB,-2613,accepted,32,48,458,453,463,4,1,463,492,458,463,5,29
22,PB,-2497,accepted,30,36,467,462,472,4,1,462,466,462,467,5,4
23,PB,-2486,accepted,44,49,507,502,512,1,2,512,519,507,512,5,7
24,PB,-2439,accepted,11,23,428,423,433,4,1,423,443,423,428,5,20
25,PB,-2389,accepted,35,46,514,509,519,2,2,516,532,513,518,2,16
26,PB,-2245,accepted,30,31,506,501,511,2,2,506,509,504,509,0,3
27,PB,-2212,accepted,29,43,498,493,503,2,2,503,529,498,503,5,26
28,PB,-2074,accepted,29,30,450,445,455,3,1,445,447,445,450,5,2
29,PB,-2058,accepted,44,46,510,505,515,1,2,512,515,509,514,2,3
30,PB,-1998,rejected,28,29,467,462,472,,,,,,,,
31,PB,-1961,rejected,8,17,433,428,438,,,,,,,,
32,PB,-1957,accepted,35,39,491,486,496,1,2,494,503,490,495,3,9
33,PB,-1799,rejected,31,40,457,452,462,,,,,,,,
34,PB,-1796,rejected,41,45,511,506,516,,,,,,,,
35,PB,-1789,accepted,38,48,507,502,512,1,2,502,517,502,507,5,15
36,PB,-1752,rejected,36,40,485,480,490,,,,,,,,
37,PB,-1602,accepted,10,13,417,412,422,3,1,412,419,412,417,5,7
38,PB,-1596,rejected,40,50,493,488,498,,,,,,,,
39,PB,-1502,rejected,12,18,476,471,481,,,,,,,,
40,PB,-1422,accepted,7,19,419,414,424,4,1,417,440,416,421,2,23
41,PB,-1303,accepted,29,35,448,443,453,3,1,445,451,444,449,3,6
42,PB,-1287,accepted,36,50,439,434,444,2,1,438,454,436,441,1,16
43,PB,-1163,rejected,4,22,464,459,469,,,,,,,,
44,PB,-1125,rejected,39,44,464,459,469,,,,,,,,
45,PB,-1100,rejected,36,40,509,504,514,,,,,,,,
46,PB,-1078,accepted,28,45,486,481,491,1,2,481,512,481,486,5,31
47,PB,-1070,accepted,33,42,496,491,501,1,2,491,507,491,496,5,16
48,PB,-1015,accepted,16,24,455,450,460,1,2,460,466,455,460,5,6
49,PB,-958,rejected,34,44,508,503,513,,,,,,,,
50,RT,376,rejected,30,38,402,397,407,,,,,,,,
51,RT,392,rejected,13,22,407,402,412,,,,,,,,
52,RT,407,rejected,2,12,427,422,432,,,,,,,,
53,RT,410,rejected,4,6,438,433,443,,,,,,,,
54,RT,412,accepted,26,36,442,437,447,3,1,440,452,438.5,443.5,2,12
55,RT,421,rejected,26,30,446,441,451,,,,,,,,
56,RT,422,accepted,31,33,431,426,436,2,1,431,434,428.5,433.5,0,3
57,RT,425,rejected,28,46,440,435,445,,,,,,,,
58,RT,427,rejected,26,43,434,429,439,,,,,,,,
59,RT,428,rejected,12,20,443,438,448,,,,,,,,
60,RT,431,rejected,45,48,454,449,459,,,,,,,,
61,RT,432,rejected,39,45,462,457,467,,,,,,,,
62,RT,434,accepted,8,24,445,440,450,1,2,445,466,442.5,447.5,0,21
63,RT,441,rejected,30,40,449,444,454,,,,,,,,
64,RT,442,rejected,41,42,458,453,463,,,,,,,,
65,RT,446,rejected,6,19,474,469,479,,,,,,,,
66,RT,447,rejected,8,13,475,470,480,,,,,,,,
67,RT,448,rejected,43,44,472,467,477,,,,,,,,
68,RT,448,rejected,31,46,464,459,469,,,,,,,,
69,RT,452,rejected,40,41,469,464,474,,,,,,,,
70,RT,452,rejected,7,10,471,466,476,,,,,,,,
71,RT,454,accepted,1,4,479,474,484,3,2,476,477,475,480,3,1
72,RT,457,rejected,43,44,477,472,482,,,,,,,,
73,RT,458,rejected,29,30,467,462,472,,,,,,,,
74,RT,458,rejected,5,20,474,469,479,,,,,,,,
75,RT,459,accepted,13,25,484,479,489,3,2,487,504,483,488,3,17
76,RT,462,rejected,28,37,492,487,497,,,,,,,,
77,RT,464,accepted,42,43,487,482,492,4,1,485,485,483.5,488.5,2,0
78,RT,465,rejected,30,46,494,489,499,,,,,,,,
79,RT,470,rejected,44,47,498,493,503,,,,,,,,
80,RT,474,accepted,26,30,498,493,503,2,2,493,505,493,498,5,12
81,RT,474,rejected,29,31,494,489,499,,,,,,,,
82,RT,475,rejected,23,25,491,486,496,,,,,,,,
83,RT,475,accepted,41,42,484,479,489,4,1,482,484,480.5,485.5,2,2
84,RT,478,rejected,28,40,484,479,489,,,,,,,,
85,RT,479,rejected,45,48,501,496,506,,,,,,,,
86,RT,480,accepted,46,47,489,484,494,4,1,489,491,486.5,491.5,0,2
87,RT,482,accepted,32,49,495,490,500,1,2,490,519,490,495,5,29
88,RT,485,rejected,37,38,507,502,512,,,,,,,,
89,RT,493,rejected,39,46,516,511,521,,,,,,,,
90,RT,494,accepted,30,46,508,503,513,2,2,506,532,504.5,509.5,2,26
91,RT,494,accepted,34,41,514,509,519,3,2,514,530,511.5,516.5,0,16
92,RT,496,accepted,30,39,513,508,518,3,2,512,524,510,515,1,12
93,RT,496,rejected,28,48,513,508,518,,,,,,,,
94,RT,496,rejected,46,49,503,498,508,,,,,,,,
95,RT,501,rejected,38,43,511,506,516,,,,,,,,
96,RT,502,rejected,33,44,512,507,517,,,,,,,,
97,RT,508,rejected,40,43,517,512,522,,,,,,,,
98,RT,510,rejected,41,49,522,517,527,,,,,,,,
99,RT,523,accepted,42,47,529,524,534,3,2,534,537,529,534,5,3
