vehicle,trip,stop,arrival,departure,stop_type
1,1,1,376,377,mandatory
1,1,3,380,381,mandatory
1,1,6,385,386,mandatory
1,1,8,389,390,mandatory
1,1,11,393,394,mandatory
1,1,13,397,398,mandatory
1,1,15,400,401,mandatory
1,1,18,404,405,mandatory
1,1,20,408,409,mandatory
1,1,23,414,415,mandatory
1,1,24,417,418,optional
1,1,25,420,421,mandatory
1,1,26,421,422,mandatory
1,1,28,424,425,mandatory
1,1,30,427,428,optional
1,1,31,429,430,mandatory
1,1,33,432,433,mandatory
1,1,36,437,438,mandatory
1,1,38,440,441,mandatory
1,1,39,443,444,optional
1,1,40,445,446,mandatory
1,1,41,447,448,optional
1,1,43,450,451,mandatory
1,1,45,453,454,mandatory
1,1,46,456,457,optional
1,1,47,459,460,optional
1,1,48,461,462,mandatory
1,1,49,464,465,optional
1,1,50,467,468,mandatory
2,1,1,392.99,393.99,mandatory
2,1,3,396.99,397.99,mandatory
2,1,6,401.99,402.99,mandatory
2,1,8,405.99,406.99,mandatory
2,1,11,409.99,410.99,mandatory
2,1,13,413.99,414.99,mandatory
2,1,15,416.99,417.99,mandatory
2,1,18,420.99,421.99,mandatory
2,1,20,424.99,425.99,mandatory
2,1,23,430.99,431.99,mandatory
2,1,24,433.99,434.99,optional
2,1,25,436.99,437.99,mandatory
2,1,26,442,443,mandatory
2,1,28,445,446,mandatory
2,1,29,447,448,optional
2,1,31,450,451,mandatory
2,1,33,453,454,mandatory
2,1,35,456,457,optional
2,1,36,458,459,mandatory
2,1,38,461,462,mandatory
2,1,40,465,466,mandatory
2,1,43,469,470,mandatory
2,1,44,471,472,optional
2,1,45,473,474,mandatory
2,1,46,476,477,optional
2,1,47,479,480,optional
2,1,48,481,482,mandatory
2,1,49,484,485,optional
2,1,50,487,488,mandatory
3,1,1,420.99,421.99,mandatory
3,1,3,424.99,425.99,mandatory
3,1,6,429.99,430.99,mandatory
3,1,8,433.99,434.99,mandatory
3,1,9,435.99,436.99,optional
3,1,11,439.99,440.99,mandatory
3,1,13,443.99,444.99,mandatory
3,1,15,446.99,447.99,mandatory
3,1,16,448.99,449.99,optional
3,1,17,450.99,451.99,optional
3,1,18,452.99,453.99,mandatory
3,1,19,454.99,455.99,optional
3,1,20,457.99,458.99,mandatory
3,1,23,463.99,464.99,mandatory
3,1,25,467.99,468.99,mandatory
3,1,26,469,470,mandatory
3,1,28,472,473,mandatory
3,1,31,477,478,mandatory
3,1,32,479,480,optional
3,1,33,482,483,mandatory
3,1,34,484,485,optional
3,1,36,487,488,mandatory
3,1,37,490,491,optional
3,1,38,492,493,mandatory
3,1,39,495,496,optional
3,1,40,497,498,mandatory
3,1,41,499,500,optional
3,1,42,501,502,optional
3,1,43,503,504,mandatory
3,1,44,505,506,optional
3,1,45,507,508,mandatory
3,1,47,511,512,optional
3,1,48,513,514,mandatory
3,1,49,516,517,optional
3,1,50,519,520,mandatory
4,1,1,435,436,mandatory
4,1,3,439,440,mandatory
4,1,4,441,442,optional
4,1,5,444,445,optional
4,1,6,447,448,mandatory
4,1,8,451,452,mandatory
4,1,11,455,456,mandatory
4,1,13,459,460,mandatory
4,1,15,462,463,mandatory
4,1,16,464,465,optional
4,1,18,467,468,mandatory
4,1,19,469,470,optional
4,1,20,472,473,mandatory
4,1,23,478,479,mandatory
4,1,24,481,482,optional
4,1,25,484,485,mandatory
4,1,26,485,486,mandatory
4,1,27,488,489,optional
4,1,28,490,491,mandatory
4,1,30,493,494,optional
4,1,31,495,496,mandatory
4,1,32,497,498,optional
4,1,33,500,501,mandatory
4,1,34,502,503,optional
4,1,35,505,506,optional
4,1,36,507,508,mandatory
4,1,37,510,511,optional
4,1,38,512,513,mandatory
4,1,39,515,516,optional
4,1,40,517,518,mandatory
4,1,41,519,520,optional
4,1,43,522,523,mandatory
4,1,44,524,525,optional
4,1,45,526,527,mandatory
4,1,46,529,530,optional
4,1,47,532,533,optional
4,1,48,534,535,mandatory
4,1,50,538,539,mandatory
