request_id,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub
0,accepted,44,46,483,480,486,4,1,486,487,483,486
1,accepted,34,47,428,425,431,1,1,426,443,426,429
2,accepted,39,50,526,523,529,1,2,524,535,524,527
3,accepted,31,36,467,464,470,4,1,464,469,464,467
4,accepted,47,48,504,501,507,3,1,507,507,504,507
5,accepted,33,44,491,488,494,2,2,494,512,491,494
6,accepted,18,24,434,431,437,4,1,433,437,432,435
7,accepted,39,40,525,522,528,1,2,524,528,523,526
8,rejected,33,50,478,475,481,,,,,,
9,accepted,35,38,511,508,514,1,2,514,521,511,514
10,accepted,33,48,435,432,438,2,1,432,451,432,435
11,accepted,9,25,417,414,420,4,1,417,441,416,419
12,accepted,43,44,497,494,500,3,1,500,502,497,500
13,accepted,32,36,481,478,484,3,1,482,486,480,483
14,rejected,30,41,503,500,506,,,,,,
15,accepted,37,47,487,484,490,3,1,489,506,487,490
16,accepted,17,20,413,410,416,3,1,412,416,411,414
17,accepted,30,49,421,418,424,1,1,424,446,421,424
18,rejected,32,41,500,497,503,,,,,,
19,accepted,8,16,460,457,463,2,2,460,473,459,462
20,accepted,26,35,476,473,479,3,1,473,485,473,476
21,accepted,29,43,477,474,480,3,1,478,499,476,479
22,accepted,38,42,521,518,524,1,2,522,530,520,523
23,accepted,6,16,458,455,461,1,2,460,476,458,461
24,rejected,42,44,448,445,451,,,,,,
25,accepted,34,43,428,425,431,1,1,426,440,426,429
26,rejected,38,41,458,455,461,,,,,,
27,rejected,5,19,466,463,469,,,,,,
28,rejected,33,35,474,471,477,,,,,,
29,accepted,17,23,476,473,479,1,2,479,488,476,479
30,rejected,45,48,506,503,509,,,,,,
31,rejected,38,49,516,513,519,,,,,,
32,rejected,16,19,485,482,488,,,,,,
33,rejected,26,31,483,480,486,,,,,,
34,rejected,36,47,460,457,463,,,,,,
35,accepted,48,49,515,512,518,2,2,516,517,514,517
36,rejected,6,11,481,478,484,,,,,,
37,accepted,5,20,459,456,462,1,2,457,482,457,460
38,accepted,30,38,511,508,514,1,2,510,521,509,512
39,rejected,42,46,504,501,507,,,,,,
40,rejected,33,49,450,447,453,,,,,,
41,rejected,41,46,507,504,510,,,,,,
42,rejected,9,16,451,448,454,,,,,,
43,rejected,33,39,460,457,463,,,,,,
44,rejected,46,49,459,456,462,,,,,,
45,rejected,36,49,478,475,481,,,,,,
46,rejected,29,44,487,484,490,,,,,,
47,accepted,18,20,413,410,416,3,1,413,416,412,415
48,rejected,35,41,502,499,505,,,,,,
49,rejected,27,39,480,477,483,,,,,,
