instance_id,instance,seed,pb_accepted,pb_rejected,rt_requests,full_status,full_result_source,full_rt_accepted,full_rt_rejected,full_solver_time_s,full_wall_time_s,full_max_epoch_s,full_avg_epoch_s,full_epochs,full_total_accepted,full_objective,compressed_rt_accepted,compressed_rt_rejected,compressed_solver_time_s,compressed_wall_time_s,compressed_max_epoch_s,compressed_avg_epoch_s,compressed_epochs,compressed_total_accepted,compressed_objective
rand-01_s2,rand-01,2,28,12,40,completed,revision,22,18,15.798,17.228,5.123,0.51,31,50,30329,22,18,0.699,1.276,0.065,0.022,31,50,30827
rand-01_s3,rand-01,3,36,4,40,completed,revision,23,17,69.379,71.066,16.61,2.238,31,59,21301,23,17,0.711,1.306,0.048,0.023,31,59,21771
rand-02_s1,rand-02,1,42,8,50,completed,revision,23,27,84.909,87.677,9.962,2.123,40,65,35160,23,27,1.345,2.589,0.063,0.033,40,65,36275
rand-02_s2,rand-02,2,40,10,50,completed,revision,21,29,69.131,71.902,12.597,1.728,40,61,39307,21,29,1.302,2.481,0.067,0.033,40,61,40119
rand-02_s3,rand-02,3,38,12,50,completed,revision,19,31,34.789,37.346,8.198,0.916,38,57,43260,19,31,1.352,2.555,0.064,0.035,38,57,43969
rand-03_s1,rand-03,1,48,12,60,completed,revision,36,24,327.405,332.828,225.019,6.296,52,84,36514,36,24,3.094,6.393,0.171,0.059,52,84,38538
rand-03_s2,rand-03,2,43,17,60,completed,revision,26,34,351.842,356.767,296.255,7.33,48,69,51721,26,34,2.582,5.186,0.137,0.054,48,69,52818
rand-03_s3,rand-03,3,49,11,60,completed,revision,26,34,4602.6,4607.554,4454.466,97.928,47,75,45843,26,34,2.738,5.528,0.087,0.058,47,75,47157
rand-04_s1,rand-04,1,21,9,30,completed,revision,14,16,19.899,21.113,5.062,0.711,28,35,25417,14,16,1.052,1.631,0.153,0.038,28,35,26016
rand-04_s2,rand-04,2,23,7,30,completed,revision,15,15,34.704,36.153,10.689,1.197,29,38,22272,16,14,1.046,1.794,0.085,0.036,29,39,21993
rand-04_s3,rand-04,3,24,6,30,completed,revision,14,16,34.06,35.317,5.841,1.31,26,38,22467,14,16,1.484,2.289,0.142,0.057,26,38,22903
rand-05_s1,rand-05,1,39,11,50,completed,revision,24,26,56.495,59.19,10.276,1.378,41,63,37156,24,26,1.49,2.867,0.079,0.036,41,63,38235
rand-05_s2,rand-05,2,39,11,50,completed,revision,18,32,46.635,49.473,10.665,1.06,44,57,43287,18,32,2.337,4.384,0.097,0.053,44,57,44072
rand-05_s3,rand-05,3,35,15,50,completed,revision,17,33,10.255,12.695,5.259,0.263,39,52,48280,17,33,1.456,2.805,0.111,0.037,39,52,48906
rand-06_s1,rand-06,1,38,2,40,completed,revision,28,12,77.604,79.501,9.929,2.352,33,66,14668,28,12,0.706,1.323,0.053,0.022,33,66,15140
rand-06_s2,rand-06,2,40,0,40,completed,revision,34,6,54.743,56.422,14.649,1.766,31,74,6678,34,6,0.534,1.058,0.036,0.017,31,74,7375
rand-06_s3,rand-06,3,40,0,40,completed,revision,33,7,113.747,115.573,22.598,3.669,31,73,7360,33,7,0.619,1.243,0.087,0.02,31,73,8137
rand-07_s1,rand-07,1,49,1,50,completed,revision,28,22,176.983,179.976,106.886,4.425,40,77,23266,28,22,1.204,2.407,0.078,0.03,40,77,24749
rand-07_s2,rand-07,2,50,0,50,completed,revision,38,12,221.58,224.458,127.345,5.539,40,88,12539,38,12,1.02,2.065,0.052,0.026,40,88,13824
rand-07_s3,rand-07,3,49,1,50,completed,revision,34,16,121.601,124.456,109.179,3.2,38,83,17628,34,16,1.501,3.15,0.09,0.04,38,83,18722
rand-08_s1,rand-08,1,60,0,60,time_limit,revision,,,,,,,,,,55,5,4.369,7.748,0.276,0.084,52,115,8616
rand-08_s2,rand-08,2,60,0,60,time_limit,revision,,,,,,,,,,53,7,4.274,8.569,0.191,0.089,48,113,10736
rand-08_s3,rand-08,3,60,0,60,time_limit,revision,,,,,,,,,,49,11,3.61,7.809,0.144,0.077,47,109,14468
rand-09_s1,rand-09,1,27,3,30,completed,revision,22,8,38.642,40.606,11.225,1.38,28,49,11464,22,8,0.61,1.171,0.047,0.022,28,49,12410
rand-09_s2,rand-09,2,26,4,30,completed,revision,17,13,38.325,40.362,15.628,1.322,29,43,17337,17,13,0.987,1.802,0.146,0.034,29,43,18187
rand-09_s3,rand-09,3,26,4,30,completed,revision,18,12,14.74,17.02,6.355,0.567,26,44,16749,18,12,1.273,1.827,0.477,0.049,26,44,17208
rand-10_s1,rand-10,1,48,2,50,completed,revision,30,20,140.467,145.287,73.423,3.426,41,78,22325,30,20,1.453,2.973,0.069,0.036,41,78,23828
rand-10_s2,rand-10,2,49,1,50,completed,revision,37,13,175.835,181.586,142.323,3.996,44,86,14610,37,13,1.266,2.615,0.075,0.029,44,86,15820
rand-10_s3,rand-10,3,48,2,50,completed,revision,38,12,117.215,121.383,23.806,3.006,39,86,14572,37,13,1.477,3.065,0.104,0.038,39,85,16686
