request_id,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub
0,accepted,31,50,460,455,465,3,1,465,505,460,465
1,accepted,29,33,467,462,472,4,1,472,482,467,472
2,accepted,43,50,454,449,459,2,1,452,459,451,456
3,accepted,35,36,468,463,473,3,1,471,471,467,472
4,accepted,1,17,419,414,424,3,1,419,443,417,422
5,accepted,38,39,445,440,450,2,1,446,447,443,448
6,accepted,46,50,450,445,455,2,1,455,459,450,455
7,accepted,32,45,483,478,488,4,1,482,501,480,485
8,accepted,31,37,475,470,480,4,1,479,487,475,480
9,accepted,31,36,428,423,433,2,1,433,438,428,433
10,accepted,29,36,512,507,517,2,2,514,521,511,516
11,accepted,13,19,483,478,488,2,2,485,495,482,487
12,accepted,26,34,458,453,463,3,1,455,468,454,459
13,accepted,40,48,523,518,528,1,2,518,528,518,523
14,accepted,14,24,464,459,469,1,2,468,477,464,469
15,accepted,33,39,417,412,422,1,1,415,426,414,419
16,accepted,4,12,442,437,447,4,1,437,443,437,442
17,accepted,10,23,482,477,487,2,2,477,498,477,482
18,accepted,31,45,493,488,498,1,2,498,524,493,498
19,rejected,42,49,526,521.0,531.0,,,,,,
20,rejected,32,36,494,489.0,499.0,,,,,,
21,accepted,34,45,464,459,469,3,1,469,492,464,469
22,accepted,4,11,454,449,459,1,2,450,455,450,455
23,accepted,32,33,515,510,520,2,2,518,518,514,519
24,rejected,44,46,510,505.0,515.0,,,,,,
25,rejected,30,32,506,501.0,511.0,,,,,,
26,accepted,34,45,487,482,492,4,1,484,501,483,488
27,rejected,1,24,407,402.0,412.0,,,,,,
28,accepted,22,25,455,450,460,4,1,460,465,455,460
29,rejected,28,46,474,469.0,479.0,,,,,,
30,accepted,46,47,460,455,465,2,1,455,457,455,460
31,accepted,40,41,432,427,437,1,1,432,432,430,435
32,accepted,1,21,448,443,453,1,2,448,474,446,451
33,rejected,28,29,464,459.0,469.0,,,,,,
34,accepted,37,43,475,470,480,3,1,474,489,472,477
35,accepted,26,41,452,447,457,3,1,455,486,451,456
36,rejected,16,21,458,453.0,463.0,,,,,,
37,accepted,10,19,432,427,437,3,1,427,445,427,432
38,rejected,45,46,465,460.0,470.0,,,,,,
39,accepted,47,49,500,495,505,3,1,498,500,497,502
40,accepted,10,14,426,421,431,3,1,427,439,424,429
41,rejected,36,45,492,487.0,497.0,,,,,,
42,accepted,13,16,464,459,469,1,2,463,470,461,466
43,rejected,8,12,464,459.0,469.0,,,,,,
44,rejected,8,19,464,459.0,469.0,,,,,,
45,rejected,36,49,478,473.0,483.0,,,,,,
46,rejected,34,37,493,488.0,498.0,,,,,,
47,accepted,30,44,495,490,500,1,2,494,523,492,497
48,rejected,9,10,447,442.0,452.0,,,,,,
49,rejected,33,46,514,509.0,519.0,,,,,,
